Statistic,High,Opponent
AT BATS,46,Buena Vista (3/9/2019)
RUNS SCORED,18,Buena Vista (3/9/2019)
HITS,18,Monmouth College (5/5/2019)
RBIS,14,Buena Vista (3/9/2019); Cornell College (3/28/2019)
DOUBLES,5,Wesleyan (Conn.) (3/19/2019); Monmouth College (5/5/2019)
TRIPLES,1,Buena Vista (3/9/2019); Buena Vista (3/9/2019); Wesleyan (Conn.) (3/19/2019); Cornell College (3/31/2019); Knox (4/7/2019)
HOME RUNS,2,Cornell College (3/31/2019); Monmouth (Ill.) (5/4/2019); Knox College (4/6/2019)
WALKS,12,Illinois College (4/28/2019)
STRIKEOUTS,15,Monmouth College (5/5/2019)
SAC HITS,3,Monmouth (Ill.) (5/4/2019)
SAC FLIES,2,Allegheny College (3/21/2019); Cornell College (3/28/2019); Monmouth College (5/5/2019)
STOLEN BASES,7,Cornell College (3/31/2019)
HIT BY PITCH,4,Buena Vista (3/10/2019)
CAUGHT STEALING,2,Macalester College (3/23/2019)
HIT INTO DP,3,Macalester College (3/23/2019)
