#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
2.0,"Jones, Zack 2 Jones, Zack",1.0,2.0,4-0,1,2,1,0,0,0,0,1,1.0,0,0,0,0,1.0,0,0,1-1,View Bio
5.0,"King, Cooper 5 King, Cooper",0.357,0.9,8-3,14,2,5,1,0,0,1,6,0.429,3,0,2,0,0.471,0,0,0-0,View Bio
23.0,"Koehler, Chad 23 Koehler, Chad",0.333,0.666,3-2,6,0,2,0,0,0,1,2,0.333,0,0,0,0,0.333,0,0,1-1,View Bio
33.0,"Cabrera, Julian 33 Cabrera, Julian",0.328,0.984,16-16,61,10,20,7,0,3,16,36,0.59,6,2,15,0,0.394,2,0,0-0,View Bio
11.0,"Hager, Jack 11 Hager, Jack",0.313,1.096,16-16,64,15,20,7,4,4,18,47,0.734,4,1,18,0,0.362,0,1,5-5,View Bio
20.0,"LeSher, Brady 20 LeSher, Brady",0.313,0.879,14-14,48,4,15,5,0,1,9,23,0.479,6,1,8,0,0.4,0,2,1-1,View Bio
7.0,"Guieb, Riley 7 Guieb, Riley",0.306,0.71,16-16,62,14,19,2,0,0,4,21,0.339,5,2,11,1,0.371,1,2,8-8,View Bio
34.0,"Reilly, Vince 34 Reilly, Vince",0.302,0.711,15-15,53,7,16,2,0,0,7,18,0.34,6,1,7,0,0.371,2,0,0-0,View Bio
6.0,"McNitt, Quinton 6 McNitt, Quinton",0.276,0.745,16-16,58,10,16,3,0,0,4,19,0.328,10,4,4,2,0.417,0,2,0-1,View Bio
9.0,"Daniel, Noah 9 Daniel, Noah",0.275,0.807,15-14,51,8,14,3,0,2,8,23,0.451,7,0,13,0,0.356,1,1,1-1,View Bio
18.0,"Richman, Will 18Richman, Will",0.25,0.5,5-2,8,1,2,0,0,0,0,2,0.25,0,0,3,0,0.25,0,0,0-0,View Bio
37.0,"Inaba, Matthew 37Inaba, Matthew",0.238,0.691,12-12,42,8,10,1,0,0,6,11,0.262,12,2,7,0,0.429,0,1,2-2,View Bio
4.0,"Gampell, Carson 4 Gampell, Carson",0.2,1.0,5-0,5,1,1,0,0,1,1,4,0.8,0,0,2,0,0.2,0,0,0-0,View Bio
3.0,"Czajkowski, Kory 3 Czajkowski, Kory",0.083,0.203,15-14,48,4,4,0,0,0,1,4,0.083,1,1,11,1,0.12,0,2,0-0,View Bio
36.0,"Booth, Jared 36 Booth, Jared",0.063,0.181,9-3,16,1,1,0,0,0,0,1,0.063,1,0,6,0,0.118,0,2,0-0,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",0.0,0.0,1-1,6,0,0,0,0,0,1,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
10.0,"Weirather, Brock 10 Weirather, Brock",0.0,1.0,5-4,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1.0,0,0,0-0,View Bio
25.0,"Dudley, Joe 25Dudley, Joe",0.0,0.0,6-0,0,2,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
41.0,"Gottlieb, Jonathan 41Gottlieb, Jonathan",0.0,1.0,1-0,0,2,0,0,0,0,1,0,0.0,0,1,0,0,1.0,0,0,0-0,View Bio
,Totals,0.269,0.757,16-16,543,91,146,31,4,11,78,218,0.401,62,15,108,4,0.356,6,13,19-20,
,Opponents,0.322,0.847,16-16,566,108,182,32,6,10,102,256,0.452,58,15,102,9,0.395,7,11,14-17,
