#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
10.0,"Weirather, Brock 10 Weirather, Brock",2.98,1.32,2-1,8-7,1,0-0,0,48.1,55,18,16,9,42,10,1,1,189,0.291,1,2,0,3,3,View Bio
29.0,"LaMotte, Sam 29 LaMotte, Sam",6.75,1.74,4-4,8-8,2,0-0,0,41.1,62,34,31,10,22,10,2,3,177,0.35,2,1,0,2,3,View Bio
8.0,"Lavery, Alex 8Lavery, Alex",0.0,0.0,0-0,1-0,0,0-0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,View Bio
21.0,"Asawa, Alex 21 Asawa, Alex",4.82,2.68,1-0,2-1,0,0-0,0,9.1,16,15,5,9,1,2,0,0,42,0.381,1,1,0,0,1,View Bio
40.0,"Moeller, Ryan 40 Moeller, Ryan",6.75,1.5,0-0,3-0,0,0-0,0,2.2,2,2,2,2,2,1,0,0,10,0.2,0,0,0,0,0,View Bio
15.0,"Carr, Charles 15 Carr, Charles",6.82,2.06,1-2,11-6,0,0-0,0,33.0,57,29,25,11,25,13,2,2,147,0.388,3,2,0,5,4,View Bio
22.0,"Lubelfeld, Daniel 22 Lubelfeld, Daniel",7.9,2.27,0-0,7-1,0,0-0,0,13.2,16,12,12,15,9,2,2,0,53,0.302,1,4,1,1,3,View Bio
28.0,"Rick, Thompson 28Rick, Thompson",9.17,1.81,0-1,11-1,0,0-0,1,17.2,23,20,18,9,11,2,1,2,73,0.315,6,2,0,0,2,View Bio
13.0,"Chang, Ryan 13 Chang, Ryan",9.95,2.47,2-4,10-3,0,0-0,1,19.0,40,25,21,7,15,6,2,1,94,0.426,1,3,0,3,1,View Bio
44.0,"Morsch, Jacob 44 Morsch, Jacob",10.08,2.4,1-3,8-5,0,0-0,0,25.0,44,34,28,16,21,11,3,3,117,0.376,3,7,1,2,1,View Bio
18.0,"Richman, Will 18Richman, Will",10.8,2.4,0-0,4-0,0,0-0,0,3.1,7,7,4,1,4,1,0,1,20,0.35,1,1,0,0,0,View Bio
32.0,"Shubert, Gabriel 32 Shubert, Gabriel",11.25,1.88,1-0,7-0,0,0-0,0,8.0,13,12,10,2,8,2,1,0,37,0.351,1,1,0,0,0,View Bio
16.0,"Bartusek, Seth 16 Bartusek, Seth",12.96,3.12,0-0,5-1,0,0-0,0,8.1,23,12,12,3,4,2,0,0,47,0.489,1,0,1,0,0,View Bio
31.0,"Jack, Ryan 31Jack, Ryan",13.5,2.25,1-2,10-0,0,0-0,1,9.1,6,14,14,15,9,0,1,0,30,0.2,0,6,0,2,3,View Bio
25.0,"Dudley, Joe 25Dudley, Joe",15.43,3.0,1-0,4-0,0,0-0,0,4.2,10,9,8,4,4,2,0,0,23,0.435,3,0,0,1,0,View Bio
19.0,"Pine, Ezra 19 Pine, Ezra",15.68,2.52,0-2,6-0,0,0-0,0,10.1,18,18,18,8,6,6,1,1,47,0.383,0,2,0,2,0,View Bio
45.0,"Lu, Nate 45 Lu, Nate",19.13,3.13,0-1,7-1,0,0-0,0,8.0,17,21,17,8,7,3,2,1,43,0.395,2,4,1,0,0,View Bio
,Totals,8.28,2.05,14-20,112-34,3,0,3,262.0,409,282,241,129,190,73,18,15,1149,0.356,26,36,4,21,21,
,Opponents,4.98,1.59,20-14,107-34,5,4,3,267.2,292,184,148,133,237,57,9,17,1068,0.273,31,35,2,12,19,
