Statistic,High,Opponent
INNINGS PITCHED,11.0,Buena Vista (3/9/2019)
RUNS ALLOWED,22.0,Allegheny College (3/21/2019)
EARNED RUNS,20.0,Allegheny College (3/21/2019); Chicago (4/13/2019)
WALKS ALLOWED,9.0,Illinois College (4/28/2019)
STRIKEOUTS,15.0,Cornell College (3/31/2019)
HITS ALLOWED,23.0,Allegheny College (3/21/2019)
DOUBLES ALLOWED,6.0,Buena Vista (3/9/2019)
TRIPLES ALLOWED,2.0,Augsburg College (3/20/2019); Illinois College (4/27/2019); Allegheny College (3/21/2019); Chicago (4/13/2019); Chicago (4/13/2019)
HOME RUNS ALLOWED,4.0,Knox College (4/6/2019)
WILD PITCHES,3.0,Chicago (4/13/2019)
HIT BATTERS,4.0,Augsburg College (3/20/2019)
