Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
3/9/2019,vs,Buena Vista,L,8-16,46,8,13,7,3,1,1,3,0,0,0,1,1,1,0,11,33,18,2,0.283
3/9/2019,vs,Buena Vista,W,18-8,36,18,13,14,1,1,0,8,0,0,0,3,0,0,0,7,21,8,4,0.361
3/10/2019,vs,Buena Vista,L,1-11,23,1,2,1,2,0,0,0,0,0,0,0,0,0,1,6,18,5,3,0.087
3/10/2019,vs,Buena Vista,W,14-10,29,14,7,10,1,0,0,8,0,1,0,4,0,1,0,4,21,6,5,0.241
3/16/2019,at,Hendrix,L,2-3,32,2,9,2,0,0,0,2,0,2,1,1,0,0,1,12,24,10,1,0.281
3/17/2019,at,Hendrix,L,0-5,25,0,5,0,1,0,0,1,0,0,0,1,0,0,0,7,18,5,1,0.2
3/17/2019,at,Hendrix,L,0-8,26,0,5,0,0,0,0,0,0,2,1,0,0,0,0,6,18,9,3,0.192
3/19/2019,vs,Wesleyan (Conn.),W,10-4,30,10,12,9,5,1,0,2,0,0,0,3,1,1,0,7,21,6,1,0.4
3/19/2019,vs,Wesleyan (Conn.),L,5-9,29,5,8,5,2,0,1,3,0,0,0,1,0,0,0,8,18,8,0,0.276
3/20/2019,vs,Augsburg College,L,1-14,28,1,7,1,0,0,0,1,0,0,0,0,0,0,0,9,21,9,3,0.25
3/21/2019,vs,Allegheny College,L,2-22,26,2,7,2,2,0,0,4,0,0,1,0,0,0,1,3,21,6,2,0.269
3/21/2019,vs,Allegheny College,W,8-6,27,8,10,8,2,1,1,5,0,0,1,1,1,2,1,6,21,7,0,0.37
3/23/2019,vs,Macalester College,W,6-4,29,6,11,6,2,1,1,2,0,0,2,0,1,0,0,6,21,8,1,0.379
3/23/2019,vs,Macalester College,L,0-7,20,0,1,0,0,0,0,7,0,0,0,1,0,0,1,4,21,6,2,0.05
3/24/2019,vs,Oberlin College,W,7-2,27,7,11,7,2,0,0,5,0,1,1,2,1,1,0,6,21,14,0,0.407
3/24/2019,vs,Oberlin College,L,5-13,32,5,12,5,1,0,1,5,0,1,1,0,1,0,0,6,18,9,1,0.375
3/28/2019,at,Cornell College,W,7-6,40,7,11,6,3,0,0,5,0,0,0,0,0,0,1,4,27,10,4,0.275
3/28/2019,at,Cornell College,W,14-8,35,14,11,14,4,1,0,5,0,0,1,3,1,2,0,5,27,8,3,0.314
3/31/2019,,Cornell College,W,12-4,37,12,11,7,4,1,2,9,0,7,0,3,1,0,0,4,27,14,1,0.297
3/31/2019,,Cornell College,L,1-5,31,1,6,1,1,0,0,0,0,2,0,1,0,0,0,2,27,7,2,0.194
4/6/2019,at,Knox College,L,2-13,28,2,4,2,1,0,1,0,0,0,0,0,0,0,0,6,21,4,0,0.143
4/6/2019,at,Knox College,W,5-3,36,5,8,5,0,0,2,4,0,1,0,0,1,0,0,8,27,8,2,0.222
4/7/2019,,Knox,W,11-1,27,11,11,10,3,1,1,4,0,1,0,3,1,1,1,1,21,11,1,0.407
4/7/2019,,Knox,L,1-2,32,1,6,1,0,0,0,1,0,1,0,0,0,0,0,8,27,15,3,0.188
4/13/2019,at,Chicago,L,5-12,37,5,9,4,1,0,1,8,0,4,0,0,0,0,0,12,24,18,1,0.243
4/13/2019,at,Chicago,L,1-20,23,1,4,1,1,0,0,7,0,2,0,2,0,0,2,9,18,9,0,0.174
4/27/2019,,Illinois College,L,2-12,28,2,7,2,2,0,1,1,0,0,0,0,1,0,0,4,21,12,0,0.25
4/27/2019,at,Illinois College,L,2-13,36,2,10,2,0,0,1,3,0,0,0,1,0,0,1,8,27,4,1,0.278
4/28/2019,at,Illinois College,W,4-3,29,4,5,3,2,0,0,8,0,3,0,0,2,1,0,14,27,22,1,0.172
4/28/2019,at,Illinois College,L,5-11,32,5,6,4,2,1,0,12,0,1,0,2,1,0,0,11,24,13,4,0.188
5/4/2019,,Monmouth (Ill.),L,0-7,31,0,5,0,1,0,0,2,0,0,0,0,1,0,1,8,27,13,0,0.161
5/4/2019,,Monmouth (Ill.),W,7-6,39,7,16,6,3,0,2,2,0,0,0,1,3,0,0,7,27,10,0,0.41
5/5/2019,at,Monmouth College,L,3-5,38,3,11,3,0,0,1,0,0,1,0,0,0,0,0,15,24,10,1,0.289
5/5/2019,at,Monmouth College,W,15-9,44,15,18,12,5,0,0,6,0,2,0,1,1,2,0,3,27,15,1,0.409
Total,,,,184-282,1068,184,292,160,57,9,17,133,0,32,9,35,19,12,11,237,786,337,54,
