0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Norse/Kohawk Invite,"Sep 3-4, 2022",2,79-74=153,+9,t-4th/75
Wartburg Fall Invite,"Sep 10-11, 2022",2,82-80=162,+18,t-42nd/132
2022 NCAA D-III Women's Fall Preview,"Sep 18-19, 2022",2,80-78=158,+14,t-28th/94
St. Kate's Fall Invite,"Sep 24-25, 2022",2,76-81=157,+13,t-15th/83
2022 SLIAC Championships,"Oct 8-10, 2022",3,76-80-78=234,+18,5th/53
SEASON TOTALS,SEASON TOTALS,11,864 Avg. 78.5,+7,-
