0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Norse/Kohawk Invite,"Sep 3-4, 2022",2,80-79=159,+15,t-17th/75
Wartburg Fall Invite,"Sep 10-11, 2022",2,85-83=168,+24,t-66th/132
St. Kate's Fall Invite,"Sep 24-25, 2022",2,84-90=174,+30,t-58th/83
2022 SLIAC Championships,"Oct 8-10, 2022",3,78-80-84=242,+26,t-10th/53
Washington Univ. Spring Invitational,"Apr 1-2, 2023",2,83-83=166,+22,t-33rd/75
Kathy Niepagen Spring Fling,"April 15-16, 2023",2,90--4=90,+18,
SEASON TOTALS,SEASON TOTALS,12,999 Avg. 83.3,+11,-
