0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Norse/Kohawk Invite,"Sep 3-4, 2022",2,79-88=167,+23,t-32nd/75
Wartburg Fall Invite,"Sep 10-11, 2022",2,83-89=172,+28,t-83rd/132
2022 SLIAC Championships,"Oct 8-10, 2022",3,79-91-81=251,+35,t-16th/53
SEASON TOTALS,SEASON TOTALS,7,590 Avg. 84.3,+12,-
