0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
2022 SLIAC Championships,"Oct 8-10, 2022",3,78-85-77=240,+24,t-7th/53
Washington Univ. Spring Invitational,"Apr 1-2, 2023",2,82-84=166,+22,t-33rd/75
Kathy Niepagen Spring Fling,"April 15-16, 2023",2,79-80=159,+15,t-25th/115
SEASON TOTALS,SEASON TOTALS,7,565 Avg. 80.7,+9,-
