Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 8, 2001 (Saturday)",1:30 pm,Away,University of Chicago,"Chicago, IL",,,"L,3-34",
"September 22, 2001 (Saturday)",1:30 pm,Away,Grinnell College,"Grinnell, IA",,,"L,24-41",
"September 29, 2001 (Saturday)",2 pm,Away,Beloit College,"Beloit, WI",,,"W,28-14",
"October 6, 2001 (Saturday)",1:30 pm,Home,Ripon College,"Lake Forest, IL",,,"L,25-31",
"October 13, 2001 (Saturday)",1:30 pm,Home,Lawrence University,"Lake Forest, IL",,,"L,12-25",
"October 20, 2001 (Saturday)",1:30 pm,Away,Illinois College,"Jacksonville, IL",,,"W,24-21",
"October 27, 2001 (Saturday)",1:30 pm,Away,St. Norbert College,"De Pere, WI",,,"L,28-52",
"November 3, 2001 (Saturday)",1 pm,Home,Knox College,"Lake Forest, IL",,,"W,30-6",
"November 10, 2001 (Saturday)",1 pm,Home,Carroll University,"Lake Forest, IL",,,"W,15-9",
"November 17, 2001 (Saturday)",1 pm,Home,Monmouth College,"Lake Forest, IL",,,"L,13-32",
