Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
08/30/2024,Coe,0-0,90:00,0,0.0,3,1.0,0,0,1,1,7
09/02/2024,Millikin,2-1,89:53,1,0.5,2,0.667,1,0,0,0,12
09/08/2024,Eureka,0-1,90:00,1,0.67,3,0.75,0,1,0,0,10
09/10/2024,Central (IA),2-2,90:00,2,1.0,1,0.333,0,0,1,0,12
09/14/2024,Carleton,1-1,90:00,1,1.0,2,0.667,0,0,1,0,7
09/15/2024,Macalester,4-0,90:00,0,0.83,2,1.0,1,0,0,1,5
09/21/2024,Neb. Wesleyan,4-1,90:00,1,0.86,5,0.833,1,0,0,0,10
09/24/2024,Simpson,2-3,90:00,3,1.13,4,0.571,0,1,0,0,12
09/28/2024,Lake Forest,3-3,90:00,3,1.33,2,0.4,0,0,1,0,14
10/01/2024,Knox,0-0,90:00,0,1.2,7,1.0,0,0,1,1,18
10/05/2024,Ripon,1-3,90:00,3,1.36,7,0.7,0,1,0,0,14
10/12/2024,Illinois Col.,3-1,90:00,1,1.33,5,0.833,1,0,0,0,7
10/19/2024,Augustana (IL),2-4,90:00,4,1.54,6,0.6,0,1,0,0,14
10/20/2024,Buena Vista,0-7,90:00,7,1.93,3,0.3,0,1,0,0,15
10/23/2024,Cornell College,0-1,90:00,1,1.87,2,0.667,0,1,0,0,4
10/26/2024,Beloit,2-8,90:00,8,2.25,12,0.6,0,1,0,0,32
10/29/2024,Monmouth (IL),1-0,90:00,0,2.12,9,1.0,1,0,0,1,17
11/02/2024,Lawrence,1-3,90:00,3,2.17,9,0.75,0,1,0,0,19
11/08/2024,Lake Forest,4-1,90:00,1,2.11,5,0.833,1,0,0,0,11
Totals,,-,1709,40,2.11,89,0.69,6,8,5,4,240
Grinnell,,-,1710:00,32,1.68,64,0.667,8,6,5,5,218
