Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
08/30/2024,Coe,0-0,90:00,0,0.0,4,1.0,0,0,1,1,10
09/02/2024,Millikin,1-2,90:00,2,1.0,1,0.333,0,1,0,0,15
09/08/2024,Eureka,1-0,90:00,0,0.67,3,1.0,1,0,0,1,8
09/10/2024,Central (IA),2-2,90:00,2,1.0,1,0.333,0,0,1,0,11
09/14/2024,Carleton,1-1,90:00,1,1.0,4,0.8,0,0,1,0,19
09/15/2024,Macalester,0-4,90:00,4,1.5,7,0.636,0,1,0,0,17
09/21/2024,Neb. Wesleyan,1-4,90:00,4,1.86,8,0.667,0,1,0,0,18
09/24/2024,Simpson,3-2,90:00,2,1.88,6,0.75,1,0,0,0,22
09/28/2024,Lake Forest,3-3,90:00,3,2.0,6,0.667,0,0,1,0,15
10/01/2024,Knox,0-0,90:00,0,1.8,2,1.0,0,0,1,1,8
10/05/2024,Ripon,3-1,90:00,1,1.73,4,0.8,1,0,0,0,10
10/12/2024,Illinois Col.,1-3,90:00,3,1.83,1,0.25,0,1,0,0,8
10/19/2024,Augustana (IL),4-2,90:00,2,1.85,3,0.6,1,0,0,0,11
10/20/2024,Buena Vista,7-0,90:00,0,1.71,1,1.0,1,0,0,1,2
10/23/2024,Cornell College,1-0,90:00,0,1.6,0,0.0,1,0,0,1,4
10/26/2024,Beloit,8-2,90:00,2,1.63,0,0.0,1,0,0,0,4
10/29/2024,Monmouth (IL),0-1,90:00,1,1.59,6,0.857,0,1,0,0,13
11/02/2024,Lawrence,3-1,90:00,1,1.56,2,0.667,1,0,0,0,9
11/08/2024,Lake Forest,1-4,90:00,4,1.68,5,0.556,0,1,0,0,14
Totals,,-,1710,32,1.68,64,0.667,8,6,5,5,218
Opponent,,-,1709:53,40,2.11,89,0.69,6,8,5,4,240
