Statistic,Grinnell,Opponents OPP
Shots,Shots,Shots
Goals G,40,32
Goals Per Game G/AVG,2.11,1.68
Shots SH,240,218
Shots Per Game SH/AVG,12.6,11.5
Shots Percentage SH%,0.167,0.147
Shots On Goal SOG,131-240,96-218
Shots On Goal Percentage SOG%,0.546,0.440
Penalties,Penalties,Penalties
Yellow Cards YC,31,38
Red Cards RC,1,2
Miscellaneous,Miscellaneous,Miscellaneous
Assists A,42,17
Saves S,64,91
Fouls F,186,185
Corner Kicks CK,116,72
Penalty Kicks: Goals-Attempts PG-PA,1-1,2-2
