0,1,2
POINTS,7,Buena Vista (10/20/2024)
GOALS,3,Buena Vista (10/20/2024)
ASSISTS,3,Beloit (10/26/2024)
SHOTS,5,Beloit (10/26/2024) Lawrence (11/02/2024)
SHOTS ON GOAL,4,Beloit (10/26/2024) Monmouth (IL) (10/29/2024)
SAVES,7,Macalester (09/15/2024)
FOULS,4,Millikin (09/02/2024) Illinois Col. (10/12/2024) Beloit (10/26/2024)
