Date,Opponent,Score,G,A,Shots,On Goal,Corners,YC,RC
08/30/2024,at Coe,0-0,0/0,0/0,7/10,3/4,8/2,1/4,0/0
09/02/2024,vs Millikin,1-2,1/2,1/2,12/15,3/3,7/2,4/1,0/1
09/08/2024,vs Eureka,1-0,1/0,1/0,10/8,4/3,5/3,3/4,1/0
09/10/2024,vs Central (IA),2-2,2/2,4/2,12/11,3/3,3/7,1/2,0/0
09/14/2024,at Carleton,1-1,1/1,2/0,7/19,3/5,5/9,3/0,0/0
09/15/2024,at Macalester,0-4,0/4,0/2,5/17,2/11,4/3,1/1,0/0
09/21/2024,vs Neb. Wesleyan,1-4,1/4,1/1,10/18,6/12,5/6,1/1,0/0
09/24/2024,at Simpson,3-2,3/2,5/2,12/22,7/8,4/5,1/0,0/0
09/28/2024,vs Lake Forest,3-3,3/3,2/2,14/15,5/9,5/7,5/5,0/0
10/01/2024,vs Knox,0-0,0/0,0/0,18/8,7/2,3/1,0/1,0/0
10/05/2024,at Ripon,3-1,3/1,3/0,14/10,10/5,6/4,0/2,0/0
10/12/2024,at Illinois Col.,1-3,1/3,2/1,7/8,6/4,5/3,1/3,0/0
10/19/2024,at Augustana (IL),4-2,4/2,3/0,14/11,10/5,8/3,3/2,0/0
10/20/2024,at Buena Vista,7-0,7/0,5/0,15/2,10/1,3/1,0/2,0/0
10/23/2024,vs Cornell College,1-0,1/0,1/0,4/4,3/0,10/2,3/5,0/1
10/26/2024,vs Beloit,8-2,8/2,8/0,32/4,20/2,17/1,0/0,0/0
10/29/2024,at Monmouth (IL),0-1,0/1,0/1,17/13,10/7,6/8,3/2,0/0
11/02/2024,at Lawrence,3-1,3/1,3/1,19/9,12/3,9/1,1/2,0/0
11/08/2024,at Lake Forest,1-4,1/4,1/3,11/14,7/9,3/4,0/1,0/0
Totals,,,40/32,42/17,240/218,131/96,116/72,31/38,1/2
