#,Player,GP,GS,MIN,GA,GAA,SV,SV%,W,L,T,SHO/CBO,SF,Bio Link
1.0,"Kunkel, Jayson 1Kunkel, Jayson",17,17,1395:00,22,1.42,53,0.707,8.0,4.0,4.0,4/1,176,View Bio
99.0,"O'Neil, Caden 99O'Neil, Caden",5,2,315:00,10,2.86,11,0.524,0.0,2.0,1.0,0/1,42,View Bio
,Total,19,-,1710:00,32,1.68,64,0.667,8.0,6.0,5.0,5,218,
,Opponents,19,-,1709:53,40,2.11,89,0.69,,,,4,240,
