Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
08/30/2024,at Coe,0-0,0,0,0,7,0.0,3,0.429,1-0,0,0-0,990
09/02/2024,vs Millikin,1-2,1,1,3,12,0.083,3,0.25,4-0,0,0-0,990
09/08/2024,vs Eureka,1-0,1,1,3,10,0.1,4,0.4,3-1,1,0-0,990
09/10/2024,vs Central (IA),2-2,2,4,8,12,0.167,3,0.25,1-0,0,0-0,990
09/14/2024,at Carleton,1-1,1,2,4,7,0.143,3,0.429,3-0,0,0-0,990
09/15/2024,at Macalester,0-4,0,0,0,5,0.0,2,0.4,1-0,0,0-0,990
09/21/2024,vs Neb. Wesleyan,1-4,1,1,3,10,0.1,6,0.6,1-0,0,0-0,990
09/24/2024,at Simpson,3-2,3,5,11,12,0.25,7,0.583,1-0,1,0-0,990
09/28/2024,vs Lake Forest,3-3,3,2,8,14,0.214,5,0.357,5-0,0,0-0,991
10/01/2024,vs Knox,0-0,0,0,0,18,0.0,7,0.389,0-0,0,0-0,990
10/05/2024,at Ripon,3-1,3,3,9,14,0.214,10,0.714,0-0,1,0-0,990
10/12/2024,at Illinois Col.,1-3,1,2,4,7,0.143,6,0.857,1-0,0,0-0,990
10/19/2024,at Augustana (IL),4-2,4,3,11,14,0.286,10,0.714,3-0,1,0-0,990
10/20/2024,at Buena Vista,7-0,7,5,19,15,0.467,10,0.667,0-0,1,0-0,990
10/23/2024,vs Cornell College,1-0,1,1,3,4,0.25,3,0.75,3-0,1,0-0,990
10/26/2024,vs Beloit,8-2,8,8,24,32,0.25,20,0.625,0-0,1,0-0,990
10/29/2024,at Monmouth (IL),0-1,0,0,0,17,0.0,10,0.588,3-0,0,0-0,990
11/02/2024,at Lawrence,3-1,3,3,9,19,0.158,12,0.632,1-0,1,1-1,978
11/08/2024,at Lake Forest,1-4,1,1,3,11,0.091,7,0.636,0-0,0,0-0,990
Total,,40-32,40,42,122,240,0.167,131,0.546,31-1,8,1-1,18799
Opponent,,-,32,17,81,218,0.147,96,0.44,38-2,6,-,18795
