Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,19507,8,44587,3.50,14452,7,33721,3.00,,,,
2004,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,22821,8,48685,3.75,15569,7,36328,3.00,,,,
2005,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,30949,8,58257,4.25,16841,8,44909,3.00,,,,
2006,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,32857,9,59143,5.00,24303,7,42530,4.00,,,,
2007,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,32985,10,44275,7.45,26756,9,37334,6.45,,,,
2008,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,31337,10,53476,5.86,27679,9,45625,5.46,,,,
2009,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,27287,10,44954,6.07,23088,9,40985,5.07,,,,
2010,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,30934,10,49733,6.22,26675,9,45991,5.22,,,,
2011,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,33250,8,36842,7.22,29465,7,33160,6.22,,,,
2012,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,40634,7,47406,6.00,36438,6,43726,5.00,,,,
2013,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,31794,9,40878,7.00,28343,8,37791,6.00,,,,
2014,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,41018,8,46878,7.00,37535,7,43791,6.00,,,,
2015,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,46328,8,52946,7.00,34241,7,39948,6.00,,,,
2016,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,36239,10,51770,7.00,31526,9,47289,6.00,,,,
2017,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,49596,8,56681,7.00,44955,7,52448,6.00,,,,
2018,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,48503,8,55432,7.00,46301,7,54018,6.00,,,,
2019,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,42775,8,46243,7.40,40031,7,43110,6.50,,,,
2020,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,37955,9,52553,6.50,35857,8,46795,6.13,,,,
2021,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,40541,9,52880,6.90,39142,8,48175,6.50,,,,
2022,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,51919,10,69225,7.50,42532,9,58890,6.50,,,,
