Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,24248,8592,
2004,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,29847,9432,
2005,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,32508,18567,
2006,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,57557,22390,
2007,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,54884,25379,
2008,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,52554,25694,
2009,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,47299,23265,
2010,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,54200,26900,
2011,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,45344,25810,
2012,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,32479,19330,
2013,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,55088,45661,
2014,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,73702,37884,
2015,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,76463,36306,
2016,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,61401,35769,
2017,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,62273,34515,
2018,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,58862,40189,
2019,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,41937,20894,
2020,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,31343,18452,
2021,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,52086,20927,
2022,153162,00185600,Cornell College,IA,NCAA Division III with football,,1,NCAA,550,505,1055,47502,24358,
