Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,453,652,1105,,,,,,,,,58701,,,58701,70259,54944,,125203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200198,,,200198,9794,9948,,19742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17576,18778,,36354,,39657,,39657,,,,,,,,,,,,,,,,,,,,,,,,,8845,20007,,28852,,,,,,,,,67597,66751,,134348,,44027,,44027,,,,,,,,,67277,,,67277,,,,,500247,254112,,609437,1363796
2004,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,489,656,1145,,,,,,,,,40506,,,40506,99375,64261,,163636,,,,,,,,,51004,52304,,103308,,,,,,,,,,,,,,,,,186912,,,186912,12854,7920,,20774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18442,18654,,37096,,40832,,40832,,,,,,,,,,,,,,,,,,,,,,,,,9252,15410,,24662,,,,,,,,,,,,,,54084,,54084,,,,,,,,,68655,,,68655,,,,,487000,253465,,610998,1351463
2005,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,525,641,1166,,,,,,,,,71708,,,71708,108588,97759,,206347,,,,,,,,,59879,59510,,119389,,,,,,,,,,,,,,,,,227203,,,227203,11144,13402,,24546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18586,17571,,36157,,28020,,28020,,,,,,,,,,,,,,,,,,,,,,,,,6916,20952,,27868,,,,,,,,,,,,,,64907,,64907,,,,,,,,,107959,,,107959,,,,,611983,302121,,624843,1538947
2006,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,520,598,1118,,,,,,,,,72367,,,72367,92981,138246,,231227,,,,,,,,,66496,66124,,132620,,,,,,,,,,,,,,,,,227665,,,227665,10284,8156,,18440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13279,16330,,29609,,61997,,61997,,,,,,,,,,,,,,,,,,,,,,,,,5272,19259,,24531,,,,,,,,,,,,,,67929,,67929,,,,,,,,,118494,,,118494,,,,,606838,378041,,226922,1211801
2007,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,519,540,1059,,,,,,,,,91959,,,91959,147264,138087,,285351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284079,,,284079,8438,8129,,16567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12654,17787,,30441,,70543,,70543,,,,,,,,,,,,,,,,,,,,,,,,,28074,32588,,60662,21108,20861,,41969,21108,20861,,41969,23378,23378,,46756,,66579,,66579,,,,,,,,,123521,,,123521,,,,,761583,398813,,285736,1446132
2008,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,548,555,1103,,,,,,,,,83142,,,83142,131731,139560,,271291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280676,,,280676,12096,9771,,21867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33888,42568,,76456,,93164,,93164,,,,,,,,,,,,,,,,,,,,,,,,,35825,34711,,70536,28751,28793,,57544,28751,28793,,57544,27410,25176,,52586,,90843,,90843,,,,,,,,,141129,,,141129,,,,,803399,493379,,301515,1598293
2009,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,536,585,1121,,,,,,,,,86380,,,86380,131880,135560,,267440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297638,,,297638,11348,6401,,17749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30244,32149,,62393,,75481,,75481,,,,,,,,,,,,,,,,,,,,,,,,,39076,27886,,66962,25769,23691,,49460,25769,23691,,49460,22357,20287,,42644,,69890,,69890,,,,,,,,,106893,,,106893,,,,,777354,415036,,278666,1471056
2010,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,543,633,1176,,,,,,,,,80380,,,80380,118544,125930,,244474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324748,,,324748,15190,8196,,23386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57059,31870,,88929,,94964,,94964,,,,,,,,,,,,,,,,,,,,,,,,,32944,30985,,63929,27981,26111,,54092,28405,25687,,54092,31335,31743,,63078,,88584,,88584,,,,,,,,,159154,,,159154,,,,,875740,464070,,472274,1812084
2011,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,544,636,1180,,,,,,,,,80013,,,80013,110579,115529,,226108,,,,,,,,,78119,70479,,148598,,,,,,,,,,,,,,,,,284608,,,284608,9039,9316,,18355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55137,53312,,108449,,76307,,76307,,,,,,,,,,,,,,,,,,,,,,,,,27839,6373,,34212,,,,,,,,,,,,,,75664,,75664,,,,,,,,,141278,,,141278,,,,,786612,406980,,663435,1857027
2012,153162,00185600,Cornell College,IA,NCAA Division III (with football),,1,NCAA,523,642,1165,,,,,,,,,110305,,,110305,131901,135397,,267298,,,,,,,,,116562,112467,,229029,,,,,,,,,,,,,,,,,304914,,,304914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60723,61406,,122129,,91815,,91815,,,,,,,,,,,,,,,,,,,,,,,,,37606,36186,,73792,,,,,,,,,,,,,,91164,,91164,,,,,,,,,165190,,,165190,,,,,927201,528435,,632174,2087810
