Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Recruiting Expenses,Women's Team Recruiting Expenses,Coed Team Recruiting Expenses
2003,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,1059,803,
2004,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,1462,606,
2005,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,2089,1415,
2006,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,6830,3330,
2007,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,3677,4314,
2008,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,12580,9081,
2009,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,6467,9557,
2010,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,9432,8915,
2011,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,10613,9958,
2012,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,14235,9501,
2013,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,9588,6543,
2014,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,14317,12345,
2015,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,21400,12901,
2016,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,16929,13551,
2017,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,28315,17870,
2018,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,28376,23924,
2019,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,13069,8837,
2020,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,11139,11112,
2021,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,23046,14881,
2022,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,18379,14095,
