Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,10382,8,33222,2.50,7540,8,30160,2.00,,,,
2004,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,16915,7,49960,2.37,13463,6,43197,1.87,,,,
2005,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,8010,9,32040,2.25,8650,9,34600,2.25,,,,
2006,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,13267,6,31841,2.50,13345,7,37366,2.50,,,,
2007,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,11874,9,42746,2.50,10959,9,39452,2.50,,,,
2008,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,9878,10,21662,4.56,9498,10,20603,4.61,,,,
2009,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,7626,10,24922,3.06,7203,10,21761,3.31,,,,
2010,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,6631,10,38552,1.72,7809,10,37543,2.08,,,,
2011,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,6551,10,29246,2.24,7016,10,29983,2.34,,,,
2012,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,16915,10,49315,3.43,11953,10,50013,2.39,,,,
2013,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,12469,10,20782,6.00,11439,10,19065,6.00,,,,
2014,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,14084,10,20120,7.00,14261,10,19807,7.20,,,,
2015,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,14262,9,20056,6.00,15767,9,19986,7.00,,,,
2016,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,15850,9,20063,7.11,17114,9,19900,7.74,,,,
2017,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,25073,9,50596,4.46,22461,9,45325,4.46,,,,
2018,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,27363,9,55217,4.46,25384,9,51223,4.46,,,,
2019,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,24346,7,54975,3.10,29056,8,46959,4.95,,,,
2020,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,26997,8,51423,4.20,27913,7,48848,4.00,,,,
2021,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,27219,9,53255,4.60,23723,9,45621,4.68,,,,
2022,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,24859,9,48637,4.60,25927,10,55400,4.68,,,,
