Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Archery Men's Team Expenses,Archery Women's Team Expenses,Archery Coed Team Expenses,Archery Total Expenses,Badminton Men's Team Expenses,Badminton Women's Team Expenses,Badminton Coed Team Expenses,Badminton Total Expenses,Baseball Men's Team Expenses,Baseball Women's Team Expenses,Baseball Coed Team Expenses,Baseball Total Expenses,Basketball Men's Team Expenses,Basketball Women's Team Expenses,Basketball Coed Team Expenses,Basketball Total Expenses,Beach Volleyball Men's Team Expenses,Beach Volleyball Women's Team Expenses,Beach Volleyball Coed Team Expenses Expenses,Beach Volleyball Total Expenses,Bowling Men's Team Expenses,Bowling Women's Team Expenses,Bowling Coed Team Expenses,Bowling Total Expenses,All Track Combined Men's Team Expenses,All Track Combined Women's Team Expenses,All Track Combined Coed Team Expenses,All Track Combined Total Expenses,Diving Men's Team Expenses,Diving Women's Team Expenses,Diving Coed Team Expenses,Diving Total Expenses,Equestrian Men's Team Expenses,Equestrian Women's Team Expenses,Equestrian Coed Team Expenses,Equestrian Total Expenses,Fencing Men's Team Expenses,Fencing Women's Team Expenses,Fencing Coed Team Expenses,Fencing Total Expenses,Field Hockey Men's Team Expenses,Field Hockey Women's Team Expenses,Field Hockey Coed Team Expenses,Field Hockey Total Expenses,Football Men's Team Expenses,Football Women's Team Expenses,Football Coed Team Expenses,Football Total Expenses,Golf Men's Team Expenses,Golf Women's Team Expenses,Golf Coed Team Expenses,Golf Total Expenses,Gymnastics Men's Team Expenses,Gymnastics Women's Team Expenses,Gymnastics Coed Team Expenses,Gymnastics Total Expenses,Ice Hockey Men's Team Expenses,Ice Hockey Women's Team Expenses,Ice Hockey Coed Team Expenses,Ice Hockey Total Expenses,Lacrosse Men's Team Expenses,Lacrosse Women's Team Expenses,Lacrosse Coed Team Expenses,Lacrosse Total Expenses,Rifle Men's Team Expenses,Rifle Women's Team Expenses,Rifle Coed Team Expenses,Rifle Total Expenses,Rodeo Men's Team Expenses,Rodeo Women's Team Expenses,Rodeo Coed Team Expenses,Rodeo Total Expenses,Rowing Men's Team Expenses,Rowing Women's Team Expenses,Rowing Coed Team Expenses,Rowing Total Expenses,Sailing Men's Team Expenses,Sailing Women's Team Expenses,Sailing Coed Team Expenses,Sailing Total Expenses,Skiing Men's Team Expenses,Skiing Women's Team Expenses,Skiing Coed Team Expenses,Skiing Total Expenses,Soccer Men's Team Expenses,Soccer Women's Team Expenses,Soccer Coed Team Expenses,Soccer Total Expenses,Softball Men's Team Expenses,Softball Women's Team Expenses,Softball Coed Team Expenses,Softball Total Expenses,Squash Men's Team Expenses,Squash Women's Team Expenses,Squash Coed Team Expenses,Squash Total Expenses,Swimming and Diving Men's Team Expenses,Swimming and Diving Women's Team Expenses,Swimming and Diving Coed Team Expenses,Swimming and Diving Total Expenses,Swimming Men's Team Expenses,Swimming Women's Team Expenses,Swimming Coed Team Expenses,Swimming Total Expenses,Synchronized Swimming Men's Team Expenses,Synchronized Swimming Women's Team Expenses,Synchronized Swimming Coed Team Expenses,Synchronized Swimming Total Expenses,Table Tennis Men's Team Expenses,Table Tennis Women's Team Expenses,Table Tennis Coed Team Expenses,Table Tennis Total Expenses,Team Handball Men's Team Expenses,Team Handball Women's Team Expenses,Team Handball Coed Team Expenses,Team Handball Total Expenses,Tennis Men's Team Expenses,Tennis Women's Team Expenses,Tennis Coed Team Expenses,Tennis Total Expenses,Track and Field Indoor Men's Team Expenses,Track and Field Indoor Women's Team Expenses,Track and Field Indoor Coed Team Expenses,Track and Field Indoor Total Expenses,Track and Field Outdoor Men's Team Expenses,Track and Field Outdoor Women's Team Expenses,Track and Field Outdoor Coed Team Expenses,Track and Field Outdoor Total Expenses,Track and Field X Country Men's Team Expenses,Track and Field X Country Women's Team Expenses,Track and Field X Country Coed Team Expenses,Track and Field X Country Total Expenses,Volleyball Men's Team Expenses,Volleyball Women's Team Expenses,Volleyball Coed Team Expenses,Volleyball Total Expenses,Water Polo Men's Team Expenses,Water Polo Women's Team Expenses,Water Polo Coed Team Expenses,Water Polo Total Expenses,Weight Lifting Men's Team Expenses,Weight Lifting Women's Team Expenses,Weight Lifting Coed Team Expenses,Weight Lifting Total Expenses,Wrestling Men's Team Expenses,Wrestling Women's Team Expenses,Wrestling Coed Team Expenses,Wrestling Total Expenses,Other Sports Men's Team Expenses,Other Sports Women's Team Expenses,Other Sports Coed Team Expenses,Other Sports Total Expenses,Total Men's Team Expenses,Total Women's Team Expenses,Total Coed Team Expenses,Not Allocated by Gender/Sport Expenses,Grand Total Expenses
2003,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,472,506,978,,,,,,,,,45467,,,45467,63352,58119,,121471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87480,,,87480,8843,4774,,13617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31578,28523,,60101,,40887,,40887,,,,,,,,,5825,5825,,11650,,,,,,,,,,,,,23525,17556,,41081,18235,18235,,36470,18235,18235,,36470,11507,11507,,23014,,40692,,40692,,,,,,,,,,,,,,,,,314047,244353,,0,558400
2004,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,429,476,905,,,,,,,,,36695,,,36695,34576,37827,,72403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67196,,,67196,4999,3689,,8688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15523,13385,,28908,,32645,,32645,,,,,,,,,998,6989,,7987,,,,,,,,,,,,,9986,4795,,14781,6450,6450,,12900,6450,6450,,12900,9549,9549,,19098,,26926,,26926,,,,,,,,,,,,,,,,,192422,148705,,11538,352665
2005,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,477,476,953,,,,,,,,,53212,,,53212,59062,61045,,120107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90580,,,90580,5786,5859,,11645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29478,20174,,49652,,44618,,44618,,,,,,,,,17935,17935,,35870,,,,,,,,,,,,,14825,12672,,27497,15465,15465,,30930,15465,15465,,30930,12728,12728,,25456,,37357,,37357,,,,,,,,,,,,,,,,,314536,243318,,118576,676430
2006,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,452,529,981,,,,,,,,,50146,,,50146,69000,71044,,140044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104713,,,104713,8457,9085,,17542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24238,27983,,52221,,44926,,44926,,,,,,,,,21555,21555,,43110,,,,,,,,,,,,,10552,15169,,25721,11532,11532,,23064,11532,11532,,23064,10950,10950,,21900,,39487,,39487,,,,,,,,,,,,,,,,,322675,263263,,22354,608292
2007,239628,00388400,Ripon College,WI,NAIA Division III,,2,NAIA,464,507,971,,,,,,,,,69459,,,69459,92802,86118,,178920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131054,,,131054,11482,10981,,22463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27990,29179,,57169,,68234,,68234,,,,,,,,,23346,23346,,46692,,,,,,,,,,,,,10946,22551,,33497,16243,16243,,32486,16243,16243,,32486,12466,12466,,24932,,55030,,55030,,,,,,,,,,,,,,,,,412031,340391,,142411,894833
2008,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,498,538,1036,,,,,,,,,78280,,,78280,87488,115576,,203064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147400,,,147400,10967,9653,,20620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27930,27610,,55540,,53032,,53032,,,,,,,,,25522,24744,,50266,,,,,,,,,,,,,13631,31138,,44769,18113,11591,,29704,17899,11805,,29704,14309,11817,,26126,,61050,,61050,,,,,,,,,,,,,,,,,441539,358016,,18650,818205
2009,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,505,532,1037,,,,,,,,,86491,,,86491,77543,57828,,135371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121158,,,121158,10424,10037,,20461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31900,34688,,66588,,44315,,44315,,,,,,,,,11725,12941,,24666,,,,,,,,,,,,,12843,21547,,34390,16202,12922,,29124,15914,13210,,29124,12914,11842,,24756,,44809,,44809,,,,,,,,,,,,,,,,,397114,264139,,39237,700490
2010,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,503,538,1041,,,,,,,,,70581,,,70581,79829,61756,,141585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148281,,,148281,18108,8738,,26846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29445,33227,,62672,,41407,,41407,,,,,15481,15481,,30962,,,,,,,,,,,,,,,,,13075,21014,,34089,17997,17997,,35994,17997,17997,,35994,14327,14327,,28654,,50513,,50513,,,,,,,,,,,,,,,,,425121,282457,,313825,1021403
2011,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,478,489,967,,,,,,,,,83503,,,83503,62638,65525,,128163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145665,,,145665,8182,11683,,19865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46559,46922,,93481,,60611,,60611,,,,,8933,8697,,17630,,,,,,,,,,,,,,,,,15475,12353,,27828,19030,19030,,38060,19030,19030,,38060,14744,14744,,29488,,63572,,63572,,,,,,,,,,,,,,,,,423759,322167,,313880,1059806
2012,239628,00388400,Ripon College,WI,NCAA Division III (with football),,1,NCAA,428,475,903,,,,,,,,,123173,,,123173,111665,63502,,175167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145737,,,145737,4695,3429,,8124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55573,58260,,113833,,75826,,75826,,,,,,,,,37579,37579,,75158,,,,,,,,,,,,,16350,10371,,26721,22578,22578,,45156,22578,22578,,45156,17473,17473,,34946,,54859,,54859,,,,,,,,,,,,,,,,,557401,366455,,289517,1213373
