Survey Year,UNITID,OPE ID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Assistant Coach,Men's Team Number of Assistant Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Assistant Coach,Women's Team Number of Assistant Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Assistant Coach,Coed Team Number of Assistant Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2003,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,2063,11,7693,2.95,1571,7,6665,1.65,,,,
2004,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,1650,11,11000,1.65,1299,8,9897,1.05,,,,
2005,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,3527,11,14640,2.65,1485,7,6300,1.65,,,,
2006,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,2038,12,10190,2.40,1506,8,8606,1.40,,,,
2007,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,3367,13,17508,2.50,1412,8,4518,2.50,,,,
2008,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,4169,13,10711,5.06,2756,12,5317,6.22,,,,
2009,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,3924,14,31940,1.72,1625,8,13000,1.00,,,,
2010,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,3939,12,20114,2.35,1867,6,20004,0.56,,,,
2011,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,2931,11,20025,1.61,1833,6,19996,0.55,,,,
2012,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,3052,12,20013,1.83,2114,7,19997,0.74,,,,
2013,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,3111,12,19964,1.87,1957,7,19570,0.70,,,,
2014,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,4026,11,20130,2.20,3220,5,18941,0.85,,,,
2015,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,3238,17,22936,2.00,1592,12,19104,1.00,,,,
2016,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,3923,17,19615,3.40,2180,10,19818,1.10,,,,
2017,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,5961,19,35393,3.20,1811,14,19808,1.28,,,,
2018,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,5593,27,43519,3.47,2409,19,40867,1.12,,,,
2019,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,5651,18,31012,3.28,2476,13,18823,1.71,,,,
2020,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,4917,20,29891,3.29,1830,14,17311,1.48,,,,
2021,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,6538,31,44940,4.51,3443,24,35464,2.33,,,,
2022,239628,00388400,Ripon College,WI,NCAA Division III with football,,1,NCAA,387,367,754,5734,29,36386,4.57,3947,22,36794,2.36,,,,
