Name,GP,AST,TO,AST/TO Ratio
"#12 Lopez, Haley",24,12,6,2.0
"#10 Gatton, Sophia",24,40,37,1.08
"#05 Hirsh, Alissa",24,111,66,1.68
"#42 Morrissey, Kayla",24,35,33,1.06
