Name,GP,Pts,Pts/G
"#05 Hirsh, Alissa",24,346,14.4
"#42 Morrissey, Kayla",24,301,12.5
"#11 Neckopulos, Alex",24,215,9.0
"#23 Boldt, Anne",24,186,7.8
"#10 Gatton, Sophia",24,170,7.1
"#20 Stariha, Lydia",24,76,3.2
"#22 Greenberg, Leah",22,66,3.0
"#21 Norton, Kaitlyn",24,54,2.3
"#12 Lopez, Haley",24,41,1.7
"#44 Guzzo, Daria",24,39,1.6
"#32 Matosky, Jordan",20,16,0.8
"#24 Giles, Margaret",7,4,0.6
"#14 Kasprak, Regan",4,1,0.3
"#15 Keller, Ariel",6,1,0.2
"#13 Kessel, Hanna",5,1,0.2
