Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Silver Lake,11/15/15,68-64,4,25-72/22-66,.347/.333,7-27/4-16,.259/.250,11-20/16-21,.550-.762,47/53 -6,16/9,10/16,1/7,7/4,19/24
Macalester,11/21/15,52-69,-17,16-65/27-63,.246/.429,4-24/4-15,.167/.267,16-28/11-19,.571-.579,43/51 -8,6/18,7/11,3/6,4/4,16/19
Monmouth College,11/24/15,69-52,17,29-64/18-53,.453/.340,7-20/3-11,.350/.273,4-5/13-18,.800-.722,33/40 -7,15/8,10/19,3/2,8/5,15/11
Beloit,11/28/15,82-78,4,30-69/26-48,.435/.542,7-21/6-15,.333/.400,15-18/20-27,.833-.741,32/33 -1,17/9,8/18,3/3,12/2,25/19
Cornell College,12/02/15,45-52,-7,16-52/19-64,.308/.297,3-20/4-23,.150/.174,10-14/10-17,.714-.588,41/40 1,6/12,21/12,1/4,6/11,19/15
Saint Norbert,12/05/15,60-71,-11,23-43/29-59,.535/.492,5-15/4-11,.333/.364,9-13/9-20,.692-.450,26/33 -7,11/18,14/6,5/2,3/8,19/19
Central,12/07/15,53-40,13,19-58/13-47,.328/.277,4-23/3-21,.174/.143,11-15/11-14,.733-.786,35/40 -5,10/4,7/18,2/4,4/4,16/16
Carroll University,12/12/15,58-71,-13,23-61/28-55,.377/.509,6-15/3-11,.400/.273,6-11/12-14,.545-.857,32/38 -6,11/14,13/12,1/3,7/4,20/12
Augustana College,12/29/15,85-80,5,30-57/24-66,.526/.364,7-13/4-21,.538/.190,18-37/28-39,.486-.718,40/45 -5,10/6,17/10,1/1,3/9,28/30
"Dubuque, Univ. of",12/30/15,69-74,-5,28-76/24-62,.368/.387,7-26/5-22,.269/.227,6-12/21-26,.500-.808,46/48 -2,12/11,9/13,4/6,2/6,21/12
Lawrence University,01/02/16,50-37,13,18-50/15-50,.360/.300,5-22/3-17,.227/.176,9-16/4-6,.563-.667,38/31 7,11/9,21/22,0/6,10/10,8/22
Ripon College,01/09/16,59-53,6,21-55/21-55,.382/.382,2-11/4-15,.182/.267,15-23/7-11,.652-.636,35/40 -5,8/14,9/13,2/7,7/1,14/17
Knox,01/12/16,77-60,17,28-68/23-74,.412/.311,7-17/7-32,.412/.219,14-18/7-9,.778-.778,46/46 0,17/10,17/19,5/2,8/4,14/17
Lake Forest College,01/16/16,60-53,7,25-61/21-59,.410/.356,7-15/1-14,.467/.071,3-10/10-12,.300-.833,34/45 -11,10/10,13/18,0/4,11/4,13/13
Cornell College,01/20/16,42-59,-17,14-52/22-64,.269/.344,5-18/8-26,.278/.308,9-12/7-9,.750-.778,35/48 -13,8/14,14/13,1/6,8/8,12/12
Beloit College,01/23/16,65-61,4,21-55/22-44,.382/.500,1-10/4-13,.100/.308,22-30/13-15,.733-.867,33/31 2,4/15,15/26,0/4,4/3,18/27
Illinois College,01/26/16,71-51,20,27-58/17-58,.466/.293,7-15/4-18,.467/.222,10-12/13-23,.833-.565,40/36 4,15/5,10/11,1/1,9/5,19/14
Ripon,01/30/16,65-63,2,26-64/28-55,.406/.509,1-12/3-13,.083/.231,12-19/4-5,.632-.800,35/35 0,8/13,11/21,2/7,12/7,10/18
Monmouth (IL),02/03/16,73-58,15,27-60/22-58,.450/.379,4-18/7-15,.222/.467,15-18/7-11,.833-.636,31/42 -11,10/8,9/22,3/0,12/2,15/15
Carroll University,02/06/16,67-61,6,29-57/23-67,.509/.343,5-16/6-19,.313/.316,4-7/9-11,.571-.818,39/36 3,16/14,14/8,1/1,4/6,16/10
Lake Forest,02/13/16,62-61,1,21-55/22-55,.382/.400,5-16/1-12,.313/.083,15-25/16-20,.600-.800,36/41 -5,8/5,11/14,1/3,3/2,15/23
Knox College,02/17/16,64-70,-6,22-65/25-63,.338/.397,4-17/9-22,.235/.409,16-21/11-17,.762-.647,49/39 10,12/11,23/21,2/4,5/9,15/25
Illinois College,02/20/16,60-67,-7,22-56/23-49,.393/.469,6-16/3-6,.375/.500,10-17/18-28,.588-.643,32/38 -6,7/6,12/15,4/0,9/3,22/14
Cornell College,02/26/16,61-81,-20,23-52/28-57,.442/.491,8-22/9-17,.364/.529,7-10/16-22,.700-.727,27/36 -9,14/17,12/11,0/3,3/2,18/10
