Name,GP,MIN,MIN/G
"#05 Hirsh, Alissa",24,783,32.6
"#10 Gatton, Sophia",24,702,29.3
"#42 Morrissey, Kayla",24,697,29.0
"#11 Neckopulos, Alex",24,643,26.8
"#23 Boldt, Anne",24,607,25.3
"#20 Stariha, Lydia",24,391,16.3
"#44 Guzzo, Daria",24,257,10.7
"#21 Norton, Kaitlyn",24,236,9.8
"#12 Lopez, Haley",24,211,8.8
"#22 Greenberg, Leah",22,141,6.4
"#32 Matosky, Jordan",20,88,4.4
"#24 Giles, Margaret",7,22,3.1
"#34 Hellweg, Abby",8,20,2.5
"#15 Keller, Ariel",6,15,2.5
"#13 Kessel, Hanna",5,7,1.4
"#14 Kasprak, Regan",4,5,1.3
