Name,GP,PF,PF/G
"#11 Neckopulos, Alex",24,61,2.5
"#10 Gatton, Sophia",24,58,2.4
"#05 Hirsh, Alissa",24,53,2.2
"#23 Boldt, Anne",24,44,1.8
"#44 Guzzo, Daria",24,41,1.7
"#42 Morrissey, Kayla",24,41,1.7
"#20 Stariha, Lydia",24,39,1.6
"#21 Norton, Kaitlyn",24,27,1.1
"#22 Greenberg, Leah",22,13,0.6
"#32 Matosky, Jordan",20,12,0.6
"#12 Lopez, Haley",24,10,0.4
"#24 Giles, Margaret",7,4,0.6
"#34 Hellweg, Abby",8,2,0.3
"#15 Keller, Ariel",6,2,0.3
