Name,GP,AST,AST/G
"#05 Hirsh, Alissa",24,111,4.6
"#10 Gatton, Sophia",24,40,1.7
"#42 Morrissey, Kayla",24,35,1.5
"#23 Boldt, Anne",24,18,0.8
"#20 Stariha, Lydia",24,13,0.5
"#12 Lopez, Haley",24,12,0.5
"#11 Neckopulos, Alex",24,12,0.5
"#21 Norton, Kaitlyn",24,8,0.3
"#22 Greenberg, Leah",22,4,0.2
"#44 Guzzo, Daria",24,4,0.2
"#32 Matosky, Jordan",20,4,0.2
"#15 Keller, Ariel",6,1,0.2
