Statistic,High,Opponent
POINTS,85,Augustana College (12/29/15)
FIELD GOALS MADE,30,Beloit (11/28/15); Augustana College (12/29/15)
FIELD GOAL ATTEMPTS,76,"Dubuque, Univ. of (12/30/15)"
3 PT FIELD GOALS MADE,8,Cornell College (02/26/16)
3 PT FG ATTEMPTS,27,Silver Lake (11/15/15)
FREE THROWS MADE,22,Beloit College (01/23/16)
FREE THROW ATTEMPTS,37,Augustana College (12/29/15)
REBOUNDS,49,Knox College (02/17/16)
ASSISTS,17,Beloit (11/28/15); Knox (01/12/16)
STEALS,12,Beloit (11/28/15); Ripon (01/30/16); Monmouth (IL) (02/03/16)
BLOCKED SHOTS,5,Saint Norbert (12/05/15); Knox (01/12/16)
TURNOVERS,23,Knox College (02/17/16)
FOULS,28,Augustana College (12/29/15)
