Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#11 Neckopulos, Alex",24,255,10.6,81,3.4,174,7.3
"#42 Morrissey, Kayla",24,135,5.6,38,1.6,97,4.0
#TM Team,23,120,5.2,50,2.2,70,3.0
"#05 Hirsh, Alissa",24,72,3.0,8,0.3,64,2.7
"#23 Boldt, Anne",24,67,2.8,20,0.8,47,2.0
"#44 Guzzo, Daria",24,55,2.3,12,0.5,43,1.8
"#20 Stariha, Lydia",24,53,2.2,18,0.8,35,1.5
"#21 Norton, Kaitlyn",24,28,1.2,8,0.3,20,0.8
"#10 Gatton, Sophia",24,27,1.1,6,0.3,21,0.9
"#32 Matosky, Jordan",20,27,1.4,13,0.7,14,0.7
"#12 Lopez, Haley",24,16,0.7,1,0.0,15,0.6
"#22 Greenberg, Leah",22,9,0.4,3,0.1,6,0.3
"#24 Giles, Margaret",7,6,0.9,1,0.1,5,0.7
"#15 Keller, Ariel",6,4,0.7,0,0.0,4,0.7
"#34 Hellweg, Abby",8,1,0.1,1,0.1,0,0.0
"#14 Kasprak, Regan",4,1,0.3,0,0.0,1,0.3
"#13 Kessel, Hanna",5,1,0.2,1,0.2,0,0.0
