Name,GP,STL,STL/G
"#05 Hirsh, Alissa",24,35,1.5
"#11 Neckopulos, Alex",24,28,1.2
"#42 Morrissey, Kayla",24,25,1.0
"#23 Boldt, Anne",24,24,1.0
"#10 Gatton, Sophia",24,13,0.5
"#44 Guzzo, Daria",24,11,0.5
"#20 Stariha, Lydia",24,9,0.4
"#21 Norton, Kaitlyn",24,6,0.3
"#12 Lopez, Haley",24,5,0.2
"#32 Matosky, Jordan",20,3,0.2
"#24 Giles, Margaret",7,1,0.1
"#22 Greenberg, Leah",22,1,0.0
