#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
5.0,"Hirsh, Alissa 05 Hirsh, Alissa",24,32.6,0.491,0.296,0.607,0.3,2.7,3.0,4.6,1.5,0.0,14.4
42.0,"Morrissey, Kayla 42 Morrissey, Kayla",24,29.0,0.445,0.358,0.78,1.6,4.0,5.6,1.5,1.0,0.6,12.5
11.0,"Neckopulos, Alex 11 Neckopulos, Alex",24,26.8,0.478,0.0,0.527,3.4,7.3,10.6,0.5,1.2,0.5,9.0
23.0,"Boldt, Anne 23 Boldt, Anne",24,25.3,0.316,0.259,0.813,0.8,2.0,2.8,0.8,1.0,0.2,7.8
10.0,"Gatton, Sophia 10 Gatton, Sophia",24,29.3,0.328,0.267,0.731,0.3,0.9,1.1,1.7,0.5,0.0,7.1
22.0,"Greenberg, Leah 22 Greenberg, Leah",22,6.4,0.262,0.276,0.5,0.1,0.3,0.4,0.2,0.0,0.0,3.0
20.0,"Stariha, Lydia 20 Stariha, Lydia",24,16.3,0.351,0.292,0.68,0.8,1.5,2.2,0.5,0.4,0.0,3.2
21.0,"Norton, Kaitlyn 21 Norton, Kaitlyn",24,9.8,0.339,0.31,0.583,0.3,0.8,1.2,0.3,0.3,0.1,2.3
44.0,"Guzzo, Daria 44 Guzzo, Daria",24,10.7,0.259,0.0,0.379,0.5,1.8,2.3,0.2,0.5,0.3,1.6
12.0,"Lopez, Haley 12 Lopez, Haley",24,8.8,0.368,0.35,1.0,0.0,0.6,0.7,0.5,0.2,0.1,1.7
32.0,"Matosky, Jordan 32 Matosky, Jordan",20,4.4,0.5,1.0,0.5,0.7,0.7,1.4,0.2,0.2,0.0,0.8
24.0,"Giles, Margaret 24 Giles, Margaret",7,3.1,0.333,0.0,1.0,0.1,0.7,0.9,0.0,0.1,0.6,0.6
34.0,"Hellweg, Abby 34 Hellweg, Abby",8,2.5,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
14.0,"Kasprak, Regan 14 Kasprak, Regan",4,1.3,0.0,0.0,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.3
15.0,"Keller, Ariel 15 Keller, Ariel",6,2.5,0.0,0.0,0.5,0.0,0.7,0.7,0.2,0.0,0.0,0.2
13.0,"Kessel, Hanna 13 Kessel, Hanna",5,1.4,0.0,0.0,0.5,0.2,0.0,0.2,0.0,0.0,0.0,0.2
,Total,24,201.0,0.395,0.289,0.65,10.9,25.7,36.5,10.9,6.7,1.9,63.21
,Opponents,24,201.0,0.39,0.269,0.708,12.0,28.3,40.2,10.8,5.1,3.6,61.92
