Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#23 Boldt, Anne",24,29,112,0.259,1.2,4.7
"#10 Gatton, Sophia",24,23,86,0.267,1.0,3.6
"#22 Greenberg, Leah",22,21,76,0.276,1.0,3.5
"#42 Morrissey, Kayla",24,19,53,0.358,0.8,2.2
"#21 Norton, Kaitlyn",24,9,29,0.31,0.4,1.2
"#05 Hirsh, Alissa",24,8,27,0.296,0.3,1.1
"#12 Lopez, Haley",24,7,20,0.35,0.3,0.8
"#20 Stariha, Lydia",24,7,24,0.292,0.3,1.0
"#32 Matosky, Jordan",20,1,1,1.0,0.1,0.1
"#14 Kasprak, Regan",4,0,1,0.0,0.0,0.3
