Statistic,Grinnell College,Opponents OPP
Scoring,Scoring,Scoring
Total Points TOT,1517,1486
Points Per Game PPG,63.2,61.9
Scoring Margin Margin,1.3,--
Shooting,Shooting,Shooting
FG: Made-Attempted FGM-FGA,563-1425,542-1391
FG: Percentage FG%,.395,.390
FG: Per Game FGM/G,23.5,22.6
3PT: Made-Attempted 3PT-3PA,124-429,109-405
3PT: Percentage 3PT%,.289,.269
3PT: Per Game 3PT/G,5.2,4.5
FT: Made-Attempted FTM-FTA,267-411,293-414
FT: Percentage FT%,.650,.708
FT: Per Game FT/G,11.1,12.2
Rebounding,Rebounding,Rebounding
Total TOT,885,965
Per Game RPG,36.9,40.2
Margin,-3.3,--
Assists,Assists,Assists
Total TOT,262,260
Per Game APG,10.9,10.8
Turnovers,Turnovers,Turnovers
Total TOT,307,369
Per Game TO/G,12.8,15.4
Margin,2.6,--
Assist/Turnover Ratio A/TO,0.9,0.7
Points Off Turnovers PTS OFF TO,14.5,10.8
Steals,Steals,Steals
Total TOT,161,123
Per Game STL/G,6.7,5.1
Blocks,Blocks,Blocks
Total TOT,46,86
Per Game BLK/G,1.9,3.6
Attendance,Attendance,Attendance
Total TOT,4280,3036
Per Game AVG,10-428,12-253
