#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
05,"Hirsh, Alissa 05 Hirsh, Alissa",24,24.0,783,32.6,142,289,0.491,8,27,0.296,54,89,0.607,346,14.4,8,64,72,3.0,53,111,66,35,1,View Bio
42,"Morrissey, Kayla 42 Morrissey, Kayla",24,24.0,697,29.0,109,245,0.445,19,53,0.358,64,82,0.78,301,12.5,38,97,135,5.6,41,35,33,25,14,View Bio
11,"Neckopulos, Alex 11 Neckopulos, Alex",24,24.0,643,26.8,88,184,0.478,0,0,0.0,39,74,0.527,215,9.0,81,174,255,10.6,61,12,52,28,12,View Bio
23,"Boldt, Anne 23 Boldt, Anne",24,23.0,607,25.3,59,187,0.316,29,112,0.259,39,48,0.813,186,7.8,20,47,67,2.8,44,18,39,24,4,View Bio
10,"Gatton, Sophia 10 Gatton, Sophia",24,23.0,702,29.3,64,195,0.328,23,86,0.267,19,26,0.731,170,7.1,6,21,27,1.1,58,40,37,13,1,View Bio
20,"Stariha, Lydia 20 Stariha, Lydia",24,0.0,391,16.3,26,74,0.351,7,24,0.292,17,25,0.68,76,3.2,18,35,53,2.2,39,13,21,9,0,View Bio
22,"Greenberg, Leah 22 Greenberg, Leah",22,0.0,141,6.4,22,84,0.262,21,76,0.276,1,2,0.5,66,3.0,3,6,9,0.4,13,4,6,1,0,View Bio
21,"Norton, Kaitlyn 21 Norton, Kaitlyn",24,1.0,236,9.8,19,56,0.339,9,29,0.31,7,12,0.583,54,2.3,8,20,28,1.2,27,8,12,6,2,View Bio
12,"Lopez, Haley 12 Lopez, Haley",24,0.0,211,8.8,14,38,0.368,7,20,0.35,6,6,1.0,41,1.7,1,15,16,0.7,10,12,6,5,2,View Bio
44,"Guzzo, Daria 44 Guzzo, Daria",24,0.0,257,10.7,14,54,0.259,0,0,0.0,11,29,0.379,39,1.6,12,43,55,2.3,41,4,14,11,6,View Bio
32,"Matosky, Jordan 32 Matosky, Jordan",20,1.0,88,4.4,5,10,0.5,1,1,1.0,5,10,0.5,16,0.8,13,14,27,1.4,12,4,10,3,0,View Bio
24,"Giles, Margaret 24 Giles, Margaret",7,0.0,22,3.1,1,3,0.333,0,0,0.0,2,2,1.0,4,0.6,1,5,6,0.9,4,0,0,1,4,View Bio
14,"Kasprak, Regan 14 Kasprak, Regan",4,0.0,5,1.3,0,3,0.0,0,1,0.0,1,2,0.5,1,0.3,0,1,1,0.3,0,0,0,0,0,View Bio
15,"Keller, Ariel 15 Keller, Ariel",6,0.0,15,2.5,0,0,0.0,0,0,0.0,1,2,0.5,1,0.2,0,4,4,0.7,2,1,0,0,0,View Bio
13,"Kessel, Hanna 13 Kessel, Hanna",5,0.0,7,1.4,0,2,0.0,0,0,0.0,1,2,0.5,1,0.2,1,0,1,0.2,0,0,1,0,0,View Bio
34,"Hellweg, Abby 34 Hellweg, Abby",8,0.0,20,2.5,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,1,0,1,0.1,2,0,0,0,0,View Bio
TM,Team  TM Team,23,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,50,70,120,5.2,0,0,10,0,0,
,Total,24,,4825,201.0,563,1425,0.395,124,429,0.289,267,411,0.65,1517,63.21,261,616,877,36.5,407,262,307,161,46,
,Opponents,24,,4825,201.0,542,1391,0.39,109,405,0.269,293,414,0.708,1486,61.92,287,678,965,40.2,414,260,369,123,86,
