#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
5.0,"Hirsh, Alissa 05 Hirsh, Alissa",24,24.0,783,142,289,0.491,8,27,0.296,54,89,0.607,346,14.4
42.0,"Morrissey, Kayla 42 Morrissey, Kayla",24,24.0,697,109,245,0.445,19,53,0.358,64,82,0.78,301,12.5
11.0,"Neckopulos, Alex 11 Neckopulos, Alex",24,24.0,643,88,184,0.478,0,0,0.0,39,74,0.527,215,9.0
23.0,"Boldt, Anne 23 Boldt, Anne",24,23.0,607,59,187,0.316,29,112,0.259,39,48,0.813,186,7.8
10.0,"Gatton, Sophia 10 Gatton, Sophia",24,23.0,702,64,195,0.328,23,86,0.267,19,26,0.731,170,7.1
22.0,"Greenberg, Leah 22 Greenberg, Leah",22,0.0,141,22,84,0.262,21,76,0.276,1,2,0.5,66,3.0
20.0,"Stariha, Lydia 20 Stariha, Lydia",24,0.0,391,26,74,0.351,7,24,0.292,17,25,0.68,76,3.2
21.0,"Norton, Kaitlyn 21 Norton, Kaitlyn",24,1.0,236,19,56,0.339,9,29,0.31,7,12,0.583,54,2.3
44.0,"Guzzo, Daria 44 Guzzo, Daria",24,0.0,257,14,54,0.259,0,0,0.0,11,29,0.379,39,1.6
12.0,"Lopez, Haley 12 Lopez, Haley",24,0.0,211,14,38,0.368,7,20,0.35,6,6,1.0,41,1.7
32.0,"Matosky, Jordan 32 Matosky, Jordan",20,1.0,88,5,10,0.5,1,1,1.0,5,10,0.5,16,0.8
24.0,"Giles, Margaret 24 Giles, Margaret",7,0.0,22,1,3,0.333,0,0,0.0,2,2,1.0,4,0.6
34.0,"Hellweg, Abby 34 Hellweg, Abby",8,0.0,20,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0
14.0,"Kasprak, Regan 14 Kasprak, Regan",4,0.0,5,0,3,0.0,0,1,0.0,1,2,0.5,1,0.3
15.0,"Keller, Ariel 15 Keller, Ariel",6,0.0,15,0,0,0.0,0,0,0.0,1,2,0.5,1,0.2
13.0,"Kessel, Hanna 13 Kessel, Hanna",5,0.0,7,0,2,0.0,0,0,0.0,1,2,0.5,1,0.2
,Total,24,,4825,563,1425,0.395,124,429,0.289,267,411,0.65,1517,63.21
,Opponents,24,,4825,542,1391,0.39,109,405,0.269,293,414,0.708,1486,61.92
