Name,GP,TO,TO/G
"#05 Hirsh, Alissa",24,66,2.8
"#11 Neckopulos, Alex",24,52,2.2
"#23 Boldt, Anne",24,39,1.6
"#10 Gatton, Sophia",24,37,1.5
"#42 Morrissey, Kayla",24,33,1.4
"#20 Stariha, Lydia",24,21,0.9
"#44 Guzzo, Daria",24,14,0.6
"#21 Norton, Kaitlyn",24,12,0.5
"#32 Matosky, Jordan",20,10,0.5
#TM Team,23,10,0.4
"#22 Greenberg, Leah",22,6,0.3
"#12 Lopez, Haley",24,6,0.3
"#13 Kessel, Hanna",5,1,0.2
