Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"September 4, 2010 (Saturday)",7:00:00 PM,Away,Washington University (Mo.),"St. Louis, Mo.",,,"L,3-34",Recap
"September 11, 2010 (Saturday)",1:00:00 PM,Away,Lawrence University,"Appleton, Wis.",,,"L,12-33",Recap
"September 18, 2010 (Saturday)",1:00:00 PM,Home,St. Norbert College,"Galesburg, Ill./Knosher Bowl",,,"L,0-49",Recap
"September 25, 2010 (Saturday)",1:00:00 PM,Away,Beloit College,"Beloit, Wis.",,,"L,7-42",Recap
"October 2, 2010 (Saturday)",1:00:00 PM,Home,Ripon College,"Galesburg, Ill./Knosher Bowl",,,"L,14-56",Recap
"October 9, 2010 (Saturday)",1:00:00 PM,Home,Grinnell College,"Galesburg, Ill./Knosher Bowl",,,"W,31-21",Recap
"October 16, 2010 (Saturday)",1:00:00 PM,Away,Illinois College,"Jacksonville, Ill.",,,"L,23-31",Recap
"October 23, 2010 (Saturday)",1:00:00 PM,Home,Carroll University,"Galesburg, Ill./Knosher Bowl",,,"L,0-35",Recap
"October 30, 2010 (Saturday)",1:00:00 PM,Away,Lake Forest College,"Lake Forest, Ill.",,,"L,6-35",Recap
"November 6, 2010 (Saturday)",1:00:00 PM,Home,Monmouth College,"Galesburg, Ill./Knosher Bowl",,,"L,6-42",Recap
