Name,GP,TO,TO/G
"#15 Thomas, Sasha",24,82,3.4
"#25 Heath, Tyria",24,80,3.3
"#05 Ahooja, Sofia",23,57,2.5
"#12 Tomczik, Kate",24,51,2.1
"#13 Kessel, Hanna",24,36,1.5
"#32 Coalson, Aidan",24,29,1.2
"#44 Guzzo, Daria",24,28,1.2
"#22 Woolam, Olivia",24,18,0.8
"#20 Stender, Kathryn",6,15,2.5
"#21 Conroy, Keely",17,14,0.8
"#11 Kricfalusi, Mikayla",16,12,0.8
#TM Team,24,12,0.5
"#42 Gubbrud, Ellie",17,6,0.4
"#10 Hanlon, May",4,3,0.8
"#35 Dos Santos, Stephany",1,1,1.0
