Name,GP,PF,PF/G
"#12 Tomczik, Kate",24,82,3.4
"#44 Guzzo, Daria",24,59,2.5
"#32 Coalson, Aidan",24,56,2.3
"#25 Heath, Tyria",24,56,2.3
"#15 Thomas, Sasha",24,52,2.2
"#13 Kessel, Hanna",24,33,1.4
"#22 Woolam, Olivia",24,30,1.3
"#05 Ahooja, Sofia",23,27,1.2
"#11 Kricfalusi, Mikayla",16,27,1.7
"#20 Stender, Kathryn",6,16,2.7
"#42 Gubbrud, Ellie",17,10,0.6
"#21 Conroy, Keely",17,5,0.3
"#35 Dos Santos, Stephany",2,2,1.0
