Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Central,11/08/18,59-55,W,17-64,0.266,4-26,0.154,21-30,0.7,16,32,48,48.0,23,13,21,3,13,59,59.0
Emmaus,11/15/18,60-63,L,25-66,0.379,6-21,0.286,4-6,0.667,16,29,45,46.5,20,17,24,2,12,60,59.5
Waldorf,11/17/18,60-35,W,22-60,0.367,6-24,0.25,10-11,0.909,13,23,36,43.0,15,12,18,6,14,60,59.7
Iowa Wesleyan University,11/21/18,47-51,L,17-55,0.309,7-28,0.25,6-8,0.75,7,29,36,41.3,16,12,18,0,6,47,56.5
Nebraska Wesleyan,11/24/18,66-59,W,19-53,0.358,4-23,0.174,24-34,0.706,13,25,38,40.6,16,7,15,2,9,66,58.4
Lake Forest,11/30/18,62-57,W,22-60,0.367,8-19,0.421,10-11,0.909,10,27,37,40.0,12,15,12,2,7,62,59.0
Lawrence University,12/01/18,52-61,L,16-53,0.302,5-25,0.2,15-19,0.789,5,21,26,38.0,19,12,14,2,7,52,58.0
Cornell College,12/05/18,58-45,W,24-64,0.375,7-24,0.292,3-6,0.5,16,27,43,38.6,15,13,9,3,7,58,58.0
Knox,12/08/18,53-35,W,20-53,0.377,3-14,0.214,10-12,0.833,14,33,47,39.6,13,11,21,1,8,53,57.4
Northwestern (MN),12/14/18,70-64,W,26-57,0.456,6-15,0.4,12-19,0.632,14,31,45,40.1,18,19,21,9,5,70,58.7
Illinois College,12/16/18,56-62,L,16-53,0.302,2-19,0.105,22-27,0.815,10,28,38,39.9,24,9,18,3,8,56,58.5
Monmouth College,01/02/19,70-61,W,24-55,0.436,7-16,0.438,15-22,0.682,9,33,42,40.1,14,12,10,7,3,70,59.4
Ripon College,01/05/19,73-47,W,26-66,0.394,9-27,0.333,12-22,0.545,15,31,46,40.5,18,17,17,3,8,73,60.5
Illinois College,01/08/19,52-57,L,16-57,0.281,6-17,0.353,14-18,0.778,14,29,43,40.7,24,13,19,4,7,52,59.9
Lawrence,01/12/19,59-64,L,18-65,0.277,1-15,0.067,22-30,0.733,14,28,42,40.8,27,12,18,1,8,59,59.8
Cornell College,01/16/19,60-40,W,17-56,0.304,7-23,0.304,19-22,0.864,17,25,42,40.9,25,10,22,2,17,60,59.8
Knox,01/19/19,65-41,W,20-50,0.4,10-20,0.5,15-20,0.75,12,32,44,41.1,19,17,21,3,11,65,60.1
Saint Norbert,01/25/19,49-43,W,20-57,0.351,2-8,0.25,7-11,0.636,14,25,39,40.9,13,16,17,5,9,49,59.5
Ripon,01/26/19,70-47,W,26-52,0.5,2-11,0.182,16-32,0.5,13,33,46,41.2,24,14,22,2,13,70,60.1
Beloit,01/31/19,52-58,L,15-56,0.268,5-24,0.208,17-22,0.773,13,31,44,41.4,13,10,19,0,8,52,59.7
Monmouth College,02/02/19,57-62,L,17-49,0.347,4-17,0.235,19-34,0.559,11,36,47,41.6,23,9,19,4,9,57,59.5
St. Norbert,02/09/19,85-38,W,29-58,0.5,12-24,0.5,15-22,0.682,11,34,45,41.8,17,17,17,4,13,85,60.7
Beloit,02/13/19,73-70,W,24-56,0.429,6-17,0.353,19-26,0.731,14,28,42,41.8,22,16,21,1,5,73,61.2
Lake Forest,02/16/19,72-54,W,26-62,0.419,8-24,0.333,12-16,0.75,17,31,48,42.0,17,20,15,8,5,72,61.7
Grinnell College,,-,,439-1358,0.323,109-498,0.219,282-458,0.616,297,627,924,38.5,455,177,444,83,209,1269,52.9
Opponents,,-,,502-1377,0.365,137-481,0.285,339-480,0.706,308,701,1009,42.0,447,323,428,77,212,1480,61.7
