Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Central,11/08/18,55-59,-4,18-57/17-64,.316/.266,5-15/4-26,.333/.154,14-25/21-30,.560-.700,49/48 1,8/13,30/21,6/3,9/13,24/23
Emmaus,11/15/18,63-60,3,22-70/25-66,.314/.379,8-26/6-21,.308/.286,11-19/4-6,.579-.667,50/45 5,10/17,22/24,3/2,11/12,11/20
Waldorf,11/17/18,35-60,-25,11-47/22-60,.234/.367,2-10/6-24,.200/.250,11-19/10-11,.579-.909,40/36 4,4/12,28/18,1/6,5/14,13/15
Iowa Wesleyan University,11/21/18,51-47,4,17-61/17-55,.279/.309,5-26/7-28,.192/.250,12-21/6-8,.571-.750,45/36 9,7/12,17/18,4/0,10/6,13/16
Nebraska Wesleyan,11/24/18,59-66,-7,21-58/19-53,.362/.358,8-27/4-23,.296/.174,9-11/24-34,.818-.706,41/38 3,10/7,21/15,3/2,7/9,26/16
Lake Forest,11/30/18,57-62,-5,21-59/22-60,.356/.367,8-25/8-19,.320/.421,7-12/10-11,.583-.909,44/37 7,6/15,17/12,7/2,5/7,14/12
Lawrence University,12/01/18,61-52,9,22-50/16-53,.440/.302,5-18/5-25,.278/.200,12-23/15-19,.522-.789,41/26 15,11/12,19/14,3/2,6/7,20/19
Cornell College,12/05/18,45-58,-13,16-55/24-64,.291/.375,5-25/7-24,.200/.292,8-9/3-6,.889-.500,36/43 -7,11/13,14/9,4/3,6/7,13/15
Knox,12/08/18,35-53,-18,15-62/20-53,.242/.377,2-28/3-14,.071/.214,3-8/10-12,.375-.833,36/47 -11,5/11,15/21,5/1,8/8,8/13
Northwestern (MN),12/14/18,64-70,-6,23-65/26-57,.354/.456,6-26/6-15,.231/.400,12-16/12-19,.750-.632,32/45 -13,7/19,13/21,3/9,10/5,18/18
Illinois College,12/16/18,62-56,6,21-57/16-53,.368/.302,5-20/2-19,.250/.105,15-23/22-27,.652-.815,39/38 1,5/9,16/18,1/3,12/8,23/24
Monmouth College,01/02/19,61-70,-9,27-75/24-55,.360/.436,3-17/7-16,.176/.438,4-7/15-22,.571-.682,38/42 -4,9/12,6/10,5/7,6/3,16/14
Ripon College,01/05/19,47-73,-26,18-60/26-66,.300/.394,2-15/9-27,.133/.333,9-17/12-22,.529-.545,38/46 -8,7/17,21/17,5/3,8/8,23/18
Illinois College,01/08/19,57-52,5,16-47/16-57,.340/.281,7-15/6-17,.467/.353,18-28/14-18,.643-.778,36/43 -7,8/13,15/19,5/4,8/7,13/24
Lawrence,01/12/19,64-59,5,21-58/18-65,.362/.277,2-17/1-15,.118/.067,20-33/22-30,.606-.733,51/42 9,8/12,22/18,1/1,8/8,28/27
Cornell College,01/16/19,40-60,-20,12-47/17-56,.255/.304,2-20/7-23,.100/.304,14-23/19-22,.609-.864,38/42 -4,6/10,26/22,4/2,10/17,23/25
Knox,01/19/19,41-65,-24,15-55/20-50,.273/.400,3-23/10-20,.130/.500,8-13/15-20,.615-.750,31/44 -13,7/17,18/21,0/3,9/11,18/19
Saint Norbert,01/25/19,43-49,-6,17-51/20-57,.333/.351,3-23/2-8,.130/.250,6-12/7-11,.500-.636,38/39 -1,7/16,21/17,4/5,10/9,16/13
Ripon,01/26/19,47-70,-23,13-46/26-52,.283/.500,2-14/2-11,.143/.182,19-29/16-32,.655-.500,29/46 -17,3/14,23/22,3/2,8/13,26/24
Beloit,01/31/19,58-52,6,24-59/15-56,.407/.268,5-23/5-24,.217/.208,5-10/17-22,.500-.773,39/44 -5,7/10,19/19,1/0,14/8,19/13
Monmouth College,02/02/19,62-57,5,17-52/17-49,.327/.347,6-17/4-17,.353/.235,22-35/19-34,.629-.559,40/47 -7,9/9,14/19,6/4,11/9,29/23
St. Norbert,02/09/19,38-85,-47,11-51/29-58,.216/.500,2-20/12-24,.100/.500,14-20/15-22,.700-.682,29/45 -16,5/17,20/17,2/4,6/13,21/17
Beloit,02/13/19,70-73,-3,22-56/24-56,.393/.429,8-23/6-17,.348/.353,18-26/19-26,.692-.731,30/42 -12,7/16,16/21,3/1,12/5,24/22
Lake Forest,02/16/19,54-72,-18,19-60/26-62,.317/.419,5-25/8-24,.200/.333,11-19/12-16,.579-.750,34/48 -14,10/20,11/15,4/8,10/5,16/17
