Name,GP,Pts,Pts/G
"#25 Heath, Tyria",24,287,12.0
"#15 Thomas, Sasha",24,231,9.6
"#12 Tomczik, Kate",24,194,8.1
"#05 Ahooja, Sofia",23,147,6.4
"#44 Guzzo, Daria",24,127,5.3
"#22 Woolam, Olivia",24,79,3.3
"#13 Kessel, Hanna",24,60,2.5
"#32 Coalson, Aidan",24,56,2.3
"#20 Stender, Kathryn",6,49,8.2
"#21 Conroy, Keely",17,25,1.5
"#11 Kricfalusi, Mikayla",16,14,0.9
