Statistic,High,Player,Opponent
POINTS,27,Sasha Thomas,Beloit (02/13/19)
FIELD GOALS MADE,10,Kate Tomczik; Tyria Heath,Monmouth College (01/02/19); Knox (01/19/19)
FIELD GOAL ATTEMPTS,19,Kate Tomczik,Monmouth College (01/02/19)
3 PT FIELD GOALS MADE,5,Sasha Thomas; Sofia Ahooja,Monmouth College (02/02/19); Illinois College (01/08/19)
3 PT FG ATTEMPTS,13,Sasha Thomas,Cornell College (12/05/18)
FREE THROWS MADE,9,Kate Tomczik,Lawrence (01/12/19)
FREE THROW ATTEMPTS,12,Kate Tomczik; Tyria Heath,Lawrence (01/12/19); Monmouth College (02/02/19); Lawrence University (12/01/18)
REBOUNDS,17,Kate Tomczik,Lawrence (01/12/19)
ASSISTS,5,Sofia Ahooja,Lake Forest (02/16/19)
STEALS,5,Kate Tomczik,Cornell College (01/16/19)
BLOCKED SHOTS,4,Tyria Heath,Lake Forest (11/30/18)
TURNOVERS,9,Sasha Thomas,Illinois College (12/16/18)
FOULS,5,Sasha Thomas; Kate Tomczik; Daria Guzzo; Aidan Coalson,Central (11/08/18); Emmaus (11/15/18); Lawrence (01/12/19); Cornell College (01/16/19); Ripon (01/26/19); Monmouth College (02/02/19); Lawrence University (12/01/18); Monmouth College (01/02/19); Ripon College (01/05/19); Knox (01/19/19); Beloit (02/13/19)
