Name,GP,BLK,BLK/G
"#32 Coalson, Aidan",24,21,0.9
"#25 Heath, Tyria",24,15,0.6
"#44 Guzzo, Daria",24,14,0.6
"#12 Tomczik, Kate",24,14,0.6
"#11 Kricfalusi, Mikayla",16,7,0.4
"#13 Kessel, Hanna",24,5,0.2
"#20 Stender, Kathryn",6,3,0.5
"#42 Gubbrud, Ellie",17,2,0.1
"#15 Thomas, Sasha",24,2,0.1
