#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
25.0,"Heath, Tyria 25 Heath, Tyria",24,24.0,698,109,266,0.41,6,44,0.136,63,113,0.558,287,12.0
15.0,"Thomas, Sasha 15 Thomas, Sasha",24,24.0,658,77,265,0.291,44,180,0.244,33,56,0.589,231,9.6
12.0,"Tomczik, Kate 12 Tomczik, Kate",24,23.0,568,65,167,0.389,0,11,0.0,64,96,0.667,194,8.1
20.0,"Stender, Kathryn 20 Stender, Kathryn",6,6.0,164,15,40,0.375,9,23,0.391,10,16,0.625,49,8.2
5.0,"Ahooja, Sofia 05 Ahooja, Sofia",23,1.0,613,42,159,0.264,22,74,0.297,41,62,0.661,147,6.4
44.0,"Guzzo, Daria 44 Guzzo, Daria",24,24.0,631,48,133,0.361,0,0,0.0,31,50,0.62,127,5.3
22.0,"Woolam, Olivia 22 Woolam, Olivia",24,0.0,212,23,112,0.205,18,92,0.196,15,20,0.75,79,3.3
13.0,"Kessel, Hanna 13 Kessel, Hanna",24,18.0,621,24,91,0.264,6,46,0.13,6,12,0.5,60,2.5
32.0,"Coalson, Aidan 32 Coalson, Aidan",24,0.0,326,23,65,0.354,0,7,0.0,10,14,0.714,56,2.3
21.0,"Conroy, Keely 21 Conroy, Keely",17,0.0,89,7,30,0.233,4,20,0.2,7,9,0.778,25,1.5
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",2,0.0,4,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
42.0,"Gubbrud, Ellie 42 Gubbrud, Ellie",17,0.0,82,0,7,0.0,0,0,0.0,0,0,0.0,0,0.0
10.0,"Hanlon, May 10 Hanlon, May",4,0.0,13,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0
11.0,"Kricfalusi, Mikayla 11 Kricfalusi, Mikayla",16,0.0,161,6,18,0.333,0,0,0.0,2,8,0.25,14,0.9
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",1,0.0,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
24.0,"Shirley, Orion 24 Shirley, Orion",4,0.0,9,0,4,0.0,0,1,0.0,0,2,0.0,0,0.0
,Total,24,,4850,439,1358,0.323,109,498,0.219,282,458,0.616,1269,52.88
,Opponents,24,,4851,502,1377,0.365,137,481,0.285,339,480,0.706,1480,61.67
