#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
25.0,"Heath, Tyria 25 Heath, Tyria",24,29.1,0.41,0.136,0.558,0.8,3.0,3.8,1.8,1.2,0.6,12.0
15.0,"Thomas, Sasha 15 Thomas, Sasha",24,27.4,0.291,0.244,0.589,0.5,1.5,2.0,1.3,1.1,0.1,9.6
12.0,"Tomczik, Kate 12 Tomczik, Kate",24,23.7,0.389,0.0,0.667,2.6,4.5,7.2,0.4,1.5,0.6,8.1
20.0,"Stender, Kathryn 20 Stender, Kathryn",6,27.3,0.375,0.391,0.625,3.3,3.7,7.0,0.7,1.2,0.5,8.2
5.0,"Ahooja, Sofia 05 Ahooja, Sofia",23,26.7,0.264,0.297,0.661,0.8,1.8,2.6,2.1,1.4,0.0,6.4
44.0,"Guzzo, Daria 44 Guzzo, Daria",24,26.3,0.361,0.0,0.62,1.5,5.5,7.0,0.2,0.8,0.6,5.3
22.0,"Woolam, Olivia 22 Woolam, Olivia",24,8.8,0.205,0.196,0.75,0.1,0.8,0.9,0.2,0.3,0.0,3.3
13.0,"Kessel, Hanna 13 Kessel, Hanna",24,25.9,0.264,0.13,0.5,0.6,1.8,2.4,1.0,1.0,0.2,2.5
32.0,"Coalson, Aidan 32 Coalson, Aidan",24,13.6,0.354,0.0,0.714,1.6,1.9,3.5,0.2,0.7,0.9,2.3
21.0,"Conroy, Keely 21 Conroy, Keely",17,5.2,0.233,0.2,0.778,0.2,0.6,0.8,0.1,0.2,0.0,1.5
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,"Gubbrud, Ellie 42 Gubbrud, Ellie",17,4.8,0.0,0.0,0.0,0.3,0.9,1.2,0.1,0.2,0.1,0.0
10.0,"Hanlon, May 10 Hanlon, May",4,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,"Kricfalusi, Mikayla 11 Kricfalusi, Mikayla",16,10.1,0.333,0.0,0.25,1.3,1.4,2.6,0.1,0.4,0.4,0.9
35.0,"Dos Santos, Stephany 35 Dos Santos, Stephany",1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,"Shirley, Orion 24 Shirley, Orion",4,2.3,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0
,Total,24,202.1,0.323,0.219,0.616,12.4,26.1,38.5,7.4,8.7,3.5,52.88
,Opponents,24,202.1,0.365,0.285,0.706,12.8,29.2,42.0,13.5,8.8,3.2,61.67
