Name,GP,STL,STL/G
"#12 Tomczik, Kate",24,37,1.5
"#05 Ahooja, Sofia",23,32,1.4
"#25 Heath, Tyria",24,29,1.2
"#15 Thomas, Sasha",24,27,1.1
"#13 Kessel, Hanna",24,24,1.0
"#44 Guzzo, Daria",24,19,0.8
"#32 Coalson, Aidan",24,16,0.7
"#20 Stender, Kathryn",6,7,1.2
"#11 Kricfalusi, Mikayla",16,6,0.4
"#22 Woolam, Olivia",24,6,0.3
"#21 Conroy, Keely",17,3,0.2
"#42 Gubbrud, Ellie",17,3,0.2
