Statistic,High,Opponent
POINTS,70,Beloit (02/13/19)
FIELD GOALS MADE,27,Monmouth College (01/02/19)
FIELD GOAL ATTEMPTS,75,Monmouth College (01/02/19)
3 PT FIELD GOALS MADE,8,Emmaus (11/15/18); Nebraska Wesleyan (11/24/18); Lake Forest (11/30/18); Beloit (02/13/19)
3 PT FG ATTEMPTS,28,Knox (12/08/18)
FREE THROWS MADE,22,Monmouth College (02/02/19)
FREE THROW ATTEMPTS,35,Monmouth College (02/02/19)
REBOUNDS,51,Lawrence (01/12/19)
ASSISTS,11,Lawrence University (12/01/18); Cornell College (12/05/18)
STEALS,14,Beloit (01/31/19)
BLOCKED SHOTS,7,Lake Forest (11/30/18)
TURNOVERS,30,Central (11/08/18)
FOULS,29,Monmouth College (02/02/19)
