Name,GP,MIN,MIN/G
"#25 Heath, Tyria",24,698,29.1
"#15 Thomas, Sasha",24,658,27.4
"#44 Guzzo, Daria",24,631,26.3
"#13 Kessel, Hanna",24,621,25.9
"#05 Ahooja, Sofia",23,613,26.7
"#12 Tomczik, Kate",24,568,23.7
"#32 Coalson, Aidan",24,326,13.6
"#22 Woolam, Olivia",24,212,8.8
"#20 Stender, Kathryn",6,164,27.3
"#11 Kricfalusi, Mikayla",16,161,10.1
"#21 Conroy, Keely",17,89,5.2
"#42 Gubbrud, Ellie",17,82,4.8
"#10 Hanlon, May",4,13,3.3
"#24 Shirley, Orion",4,9,2.3
"#35 Dos Santos, Stephany",2,4,2.0
"#35 Dos Santos, Stephany",1,1,1.0
