Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#25 Heath, Tyria",24,109,266,0.41,4.5,11.1
"#15 Thomas, Sasha",24,77,265,0.291,3.2,11.0
"#12 Tomczik, Kate",24,65,167,0.389,2.7,7.0
"#44 Guzzo, Daria",24,48,133,0.361,2.0,5.5
"#05 Ahooja, Sofia",23,42,159,0.264,1.8,6.9
"#13 Kessel, Hanna",24,24,91,0.264,1.0,3.8
"#32 Coalson, Aidan",24,23,65,0.354,1.0,2.7
"#22 Woolam, Olivia",24,23,112,0.205,1.0,4.7
"#20 Stender, Kathryn",6,15,40,0.375,2.5,6.7
"#21 Conroy, Keely",17,7,30,0.233,0.4,1.8
"#11 Kricfalusi, Mikayla",16,6,18,0.333,0.4,1.1
"#42 Gubbrud, Ellie",17,0,7,0.0,0.0,0.4
"#10 Hanlon, May",4,0,1,0.0,0.0,0.3
"#24 Shirley, Orion",4,0,4,0.0,0.0,1.0
