Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#12 Tomczik, Kate",24,172,7.2,63,2.6,109,4.5
"#44 Guzzo, Daria",24,167,7.0,36,1.5,131,5.5
#TM Team,24,107,4.5,44,1.8,63,2.6
"#25 Heath, Tyria",24,90,3.8,19,0.8,71,3.0
"#32 Coalson, Aidan",24,83,3.5,38,1.6,45,1.9
"#05 Ahooja, Sofia",23,59,2.6,18,0.8,41,1.8
"#13 Kessel, Hanna",24,57,2.4,14,0.6,43,1.8
"#15 Thomas, Sasha",24,48,2.0,13,0.5,35,1.5
"#11 Kricfalusi, Mikayla",16,42,2.6,20,1.3,22,1.4
"#20 Stender, Kathryn",6,42,7.0,20,3.3,22,3.7
"#42 Gubbrud, Ellie",17,21,1.2,5,0.3,16,0.9
"#22 Woolam, Olivia",24,21,0.9,3,0.1,18,0.8
"#21 Conroy, Keely",17,14,0.8,4,0.2,10,0.6
"#24 Shirley, Orion",4,1,0.3,0,0.0,1,0.3
