#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
25,"Heath, Tyria 25 Heath, Tyria",18,18.0,522,29.0,90,198,0.455,6,32,0.188,48,88,0.545,234,13.0,11,52,63,3.5,42,31,1.7,56,22,11,View Bio
15,"Thomas, Sasha 15 Thomas, Sasha",18,18.0,504,28.0,56,203,0.276,29,136,0.213,30,48,0.625,171,9.5,12,30,42,2.3,39,25,1.4,60,23,1,View Bio
12,"Tomczik, Kate 12 Tomczik, Kate",18,17.0,428,23.8,46,125,0.368,0,10,0.0,45,72,0.625,137,7.6,48,87,135,7.5,62,7,0.4,44,28,10,View Bio
20,"Stender, Kathryn 20 Stender, Kathryn",1,1.0,24,24.0,2,7,0.286,1,2,0.5,2,4,0.5,7,7.0,3,4,7,7.0,3,0,0.0,1,1,0,View Bio
05,"Ahooja, Sofia 05 Ahooja, Sofia",17,1.0,463,27.2,34,116,0.293,20,57,0.351,27,41,0.659,115,6.8,11,29,40,2.4,16,35,2.1,37,26,0,View Bio
44,"Guzzo, Daria 44 Guzzo, Daria",18,18.0,480,26.7,36,97,0.371,0,0,0.0,23,36,0.639,95,5.3,22,91,113,6.3,47,2,0.1,25,15,12,View Bio
22,"Woolam, Olivia 22 Woolam, Olivia",18,0.0,175,9.7,17,87,0.195,13,72,0.181,15,20,0.75,62,3.4,3,11,14,0.8,29,4,0.2,11,3,0,View Bio
13,"Kessel, Hanna 13 Kessel, Hanna",18,17.0,500,27.8,18,73,0.247,3,34,0.088,6,10,0.6,45,2.5,7,36,43,2.4,30,20,1.1,31,15,3,View Bio
32,"Coalson, Aidan 32 Coalson, Aidan",18,0.0,260,14.4,17,46,0.37,0,7,0.0,10,14,0.714,44,2.4,29,34,63,3.5,41,3,0.2,19,15,17,View Bio
21,"Conroy, Keely 21 Conroy, Keely",14,0.0,71,5.1,5,25,0.2,3,17,0.176,5,6,0.833,18,1.3,4,7,11,0.8,5,1,0.1,11,3,0,View Bio
23,"Collier, Claire 23 Collier, Claire",1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
35,"Dos Santos, Stephany 35 Dos Santos, Stephany",1,0.0,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0.0,0,0,0,View Bio
42,"Gubbrud, Ellie 42 Gubbrud, Ellie",11,0.0,38,3.5,0,2,0.0,0,0,0.0,0,0,0.0,0,0.0,3,9,12,1.1,8,1,0.1,1,1,2,View Bio
10,"Hanlon, May 10 Hanlon, May",1,0.0,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,0,View Bio
34,"Hellweg, Abby 34 Hellweg, Abby",1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
11,"Kricfalusi, Mikayla 11 Kricfalusi, Mikayla",15,0.0,149,9.9,6,18,0.333,0,0,0.0,2,8,0.25,14,0.9,20,21,41,2.7,27,1,0.1,11,5,7,View Bio
35,"Dos Santos, Stephany 35 Dos Santos, Stephany",1,0.0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,1,0,0,View Bio
24,"Shirley, Orion 24 Shirley, Orion",3,0.0,6,2.0,0,3,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,1,0.3,0,0,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,32,51,83,4.6,0,0,0.0,4,0,0,
,Total,18,,3625,201.4,327,1000,0.327,75,368,0.204,213,347,0.614,942,52.33,205,462,667,37.1,350,131,7.3,313,157,63,
,Opponents,18,,3626,201.4,376,1022,0.368,104,344,0.302,262,372,0.704,1118,62.11,229,532,761,42.3,339,243,13.5,311,153,55,
