#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
25,"Heath, Tyria 25 Heath, Tyria",24,24.0,698,29.1,109,266,0.41,6,44,0.136,63,113,0.558,287,12.0,19,71,90,3.8,56,43,80,29,15,View Bio
15,"Thomas, Sasha 15 Thomas, Sasha",24,24.0,658,27.4,77,265,0.291,44,180,0.244,33,56,0.589,231,9.6,13,35,48,2.0,52,32,82,27,2,View Bio
20,"Stender, Kathryn 20 Stender, Kathryn",6,6.0,164,27.3,15,40,0.375,9,23,0.391,10,16,0.625,49,8.2,20,22,42,7.0,16,4,15,7,3,View Bio
12,"Tomczik, Kate 12 Tomczik, Kate",24,23.0,568,23.7,65,167,0.389,0,11,0.0,64,96,0.667,194,8.1,63,109,172,7.2,82,9,51,37,14,View Bio
05,"Ahooja, Sofia 05 Ahooja, Sofia",23,1.0,613,26.7,42,159,0.264,22,74,0.297,41,62,0.661,147,6.4,18,41,59,2.6,27,48,57,32,0,View Bio
44,"Guzzo, Daria 44 Guzzo, Daria",24,24.0,631,26.3,48,133,0.361,0,0,0.0,31,50,0.62,127,5.3,36,131,167,7.0,59,4,28,19,14,View Bio
22,"Woolam, Olivia 22 Woolam, Olivia",24,0.0,212,8.8,23,112,0.205,18,92,0.196,15,20,0.75,79,3.3,3,18,21,0.9,30,5,18,6,0,View Bio
13,"Kessel, Hanna 13 Kessel, Hanna",24,18.0,621,25.9,24,91,0.264,6,46,0.13,6,12,0.5,60,2.5,14,43,57,2.4,33,24,36,24,5,View Bio
32,"Coalson, Aidan 32 Coalson, Aidan",24,0.0,326,13.6,23,65,0.354,0,7,0.0,10,14,0.714,56,2.3,38,45,83,3.5,56,4,29,16,21,View Bio
21,"Conroy, Keely 21 Conroy, Keely",17,0.0,89,5.2,7,30,0.233,4,20,0.2,7,9,0.778,25,1.5,4,10,14,0.8,5,1,14,3,0,View Bio
11,"Kricfalusi, Mikayla 11 Kricfalusi, Mikayla",16,0.0,161,10.1,6,18,0.333,0,0,0.0,2,8,0.25,14,0.9,20,22,42,2.6,27,1,12,6,7,View Bio
23,"Collier, Claire 23 Collier, Claire",1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
35,"Dos Santos, Stephany 35 Dos Santos, Stephany",2,0.0,4,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,2,0,0,0,0,View Bio
42,"Gubbrud, Ellie 42 Gubbrud, Ellie",17,0.0,82,4.8,0,7,0.0,0,0,0.0,0,0,0.0,0,0.0,5,16,21,1.2,10,1,6,3,2,View Bio
10,"Hanlon, May 10 Hanlon, May",4,0.0,13,3.3,0,1,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,3,0,0,View Bio
34,"Hellweg, Abby 34 Hellweg, Abby",1,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,View Bio
35,"Dos Santos, Stephany 35 Dos Santos, Stephany",1,0.0,1,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,1,0,0,View Bio
24,"Shirley, Orion 24 Shirley, Orion",4,0.0,9,2.3,0,4,0.0,0,1,0.0,0,2,0.0,0,0.0,0,1,1,0.3,0,1,0,0,0,View Bio
TM,Team  TM Team,24,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,44,63,107,4.5,0,0,12,0,0,
,Total,24,,4850,202.1,439,1358,0.323,109,498,0.219,282,458,0.616,1269,52.88,297,627,924,38.5,455,177,444,209,83,
,Opponents,24,,4851,202.1,502,1377,0.365,137,481,0.285,339,480,0.706,1480,61.67,308,701,1009,42.0,447,323,428,212,77,
