School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Cornell College#*,9-0,1.000,18-10,.643,L1,8-3,9-3,1-4
Grinnell*,7-2,.778,17-16,.515,L1,8-4,3-6,6-6
St. Norbert College*,7-2,.778,13-15,.464,L1,6-3,3-6,4-6
Illinois Col.*,6-3,.667,22-7,.759,L1,9-0,5-5,8-2
Lake Forest,5-4,.556,12-15,.444,W2,7-5,3-7,2-3
Ripon,4-5,.444,10-17,.370,W1,6-6,2-6,2-5
Beloit,2-7,.222,8-17,.320,L5,5-6,2-6,1-5
Lawrence,2-7,.222,3-25,.107,L7,2-7,0-10,1-8
Monmouth (IL),2-7,.222,13-15,.464,W1,7-3,1-7,5-5
Knox,1-8,.111,6-20,.231,L2,1-9,2-8,3-3
