School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Cornell College*^,8-0,1.000,23-8,.742,L1,12-3,7-1,4-4
Illinois Col.*,7-1,.875,18-13,.581,L1,11-0,5-9,2-4
Lake Forest*,6-2,.750,17-8,.680,L1,8-4,5-3,4-1
Grinnell*,5-3,.625,13-17,.433,L1,6-5,6-6,1-6
Monmouth (IL),4-4,.500,11-13,.458,L1,5-3,3-4,3-6
Ripon,3-5,.375,10-19,.345,L1,5-10,2-5,3-4
Lawrence,2-6,.250,5-22,.185,L2,1-7,2-9,2-6
Knox,1-7,.125,2-18,.100,L5,0-6,2-6,0-6
Beloit,0-8,.000,1-25,.038,L14,0-7,1-10,0-8
