School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Cornell College*#,9-0,1.000,22-7,.759,L1,10-2,5-1,7-4
St. Norbert College*,8-1,.889,16-15,.516,L1,4-0,6-5,6-10
Grinnell*,6-3,.667,14-11,.560,L1,7-3,4-5,3-3
Lawrence*,5-4,.556,11-16,.407,L1,5-2,2-8,4-6
Ripon,5-4,.556,17-9,.654,W1,10-3,3-4,4-2
Illinois Col.,4-5,.444,15-12,.556,L1,13-3,2-6,0-3
Lake Forest,3-6,.333,7-17,.292,L2,5-6,1-9,1-2
Knox,3-6,.333,7-20,.259,L1,3-4,3-8,1-8
Monmouth (IL),2-7,.222,7-18,.280,L2,3-6,1-8,3-4
Beloit,0-9,.000,10-15,.400,W1,6-5,2-6,2-4
