School,Conf,CPct.,Overall,Pct.,Streak,Home,Away,Neutral
Cornell College*#,9-0,1.000,25-8,.758,L1,7-2,9-3,9-3
St. Norbert College*,8-1,.889,13-16,.448,L1,4-2,5-5,4-9
Ripon*,5-4,.556,10-17,.370,L2,6-7,2-4,2-6
Grinnell*,5-4,.556,16-9,.640,L1,2-3,6-4,8-2
Lawrence,5-4,.556,10-17,.370,L4,3-6,3-3,4-8
Lake Forest,4-5,.444,12-14,.462,W1,7-7,4-5,1-2
Illinois Col.,4-5,.444,13-16,.448,L2,9-6,3-6,1-4
Beloit,3-6,.333,9-16,.360,W1,6-5,2-7,1-4
Knox,1-8,.111,11-19,.367,W1,9-4,1-7,1-8
Monmouth (IL),1-8,.111,8-20,.286,L2,3-6,4-7,1-7
