#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
31.0,"Galanek, Sam 31Galanek, Sam",0.533,1.188,11-2,15,0,8,1,0,0,5,9,0.6,2,0,3,0,0.588,0,0,1-1,View Bio
36.0,"Hammond, Matt 36 Hammond, Matt",0.433,1.183,16-16,60,14,26,6,0,3,22,41,0.683,8,1,10,1,0.5,1,1,1-2,View Bio
3.0,"Kawahara, Yuki 3Kawahara, Yuki",0.417,1.23,10-8,24,7,10,3,0,1,8,16,0.667,8,0,6,0,0.563,0,2,7-9,View Bio
10.0,"Fisher, Graham 10Fisher, Graham",0.389,1.194,16-16,54,13,21,4,0,5,19,40,0.741,6,2,8,1,0.453,2,1,1-1,View Bio
17.0,"Mack, Anthony 17Mack, Anthony",0.344,1.07,16-16,64,23,22,6,2,3,16,41,0.641,10,1,10,0,0.429,2,2,9-9,View Bio
15.0,"Takayesu, Niko 15 Takayesu, Niko",0.333,0.759,8-8,33,7,11,1,0,0,3,12,0.364,3,1,3,0,0.395,1,0,3-3,View Bio
13.0,"Klar, Coby 13Klar, Coby",0.333,0.666,8-0,3,5,1,0,0,0,1,1,0.333,0,0,1,0,0.333,0,0,0-0,View Bio
29.0,"Penaflor, Ryan 29Penaflor, Ryan",0.302,0.733,16-15,53,13,16,2,0,0,4,18,0.34,6,2,9,0,0.393,0,7,0-0,View Bio
44.0,"Slattery, Michael 44Slattery, Michael",0.275,0.684,16-16,51,7,14,3,0,0,7,17,0.333,5,1,6,1,0.351,0,0,2-2,View Bio
5.0,"Bell, Walker 5Bell, Walker",0.236,0.603,16-16,55,7,13,1,0,0,3,14,0.255,8,2,16,0,0.348,1,6,1-1,View Bio
12.0,"Godinsky, Matt 12Godinsky, Matt",0.213,0.65,16-16,47,4,10,0,0,1,3,13,0.277,8,4,8,1,0.373,0,3,0-0,View Bio
8.0,"Towner, Teague 8 Towner, Teague",0.189,0.42,12-12,37,4,7,0,0,0,3,7,0.189,2,0,3,0,0.231,0,6,0-1,View Bio
16.0,"Voelker, Ross 16Voelker, Ross",0.167,0.579,5-4,12,4,2,0,0,0,4,2,0.167,3,2,1,0,0.412,0,1,1-1,View Bio
18.0,"Petritis, Steven 18Petritis, Steven",0.125,0.489,8-1,8,3,1,0,0,0,1,1,0.125,3,0,2,1,0.364,0,1,2-2,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",0.0,0.0,1-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1-1,View Bio
,Totals,0.314,0.859,16-16,516,112,162,27,2,13,99,232,0.45,72,16,86,5,0.409,7,30,29-33,
,Opponents,0.268,0.693,16-16,518,68,139,19,1,10,59,190,0.367,40,7,105,10,0.326,5,7,7-11,
