Statistic,High,Opponent
INNINGS PITCHED,9.0,St. Norbert College (3/18/2015); Ripon College (3/20/2015); Central College (3/25/2015); Simpson College (3/26/2015); Monmouth College (4/2/2015)
RUNS ALLOWED,15.0,Augustana (4/15/2015)
EARNED RUNS,12.0,Augustana (4/15/2015)
WALKS ALLOWED,7.0,Central College (3/25/2015); Monmouth College (4/2/2015); WashU (4/11/2015)
STRIKEOUTS,12.0,Ripon College (3/20/2015); Monmouth College (4/2/2015); Monmouth College (4/2/2015); Illinois College (5/2/2015)
HITS ALLOWED,19.0,Monmouth College (4/2/2015); Augustana (4/15/2015); Coe College (4/29/2015)
DOUBLES ALLOWED,4.0,Univ. of St. Thomas (3/21/2015); Monmouth College (4/2/2015); Franklin & Marshall (3/16/2015); Cornell College (5/8/2015)
TRIPLES ALLOWED,2.0,Univ. of St. Thomas (3/21/2015)
HOME RUNS ALLOWED,3.0,Monmouth College (4/2/2015); St. Norbert College (5/8/2015)
WILD PITCHES,4.0,Monmouth College (4/2/2015); Augustana (4/15/2015)
HIT BATTERS,3.0,Hope College (3/17/2015)
