Player,2,3,4,5+,Total
"Hammond, Matt",7,-,2,-,9
"Mack, Anthony",6,1,-,1,8
"Fisher, Graham",2,3,-,2,7
"Godinsky, Matt",4,1,-,-,5
"Bell, Walker",2,-,-,-,2
"Towner, Teague",2,-,-,-,2
"Takayesu, Niko",2,-,-,-,2
"Petritis, Steven",1,-,1,-,2
"Penaflor, Ryan",2,-,-,-,2
"Galanek, Sam",-,1,-,1,2
"Kawahara, Yuki",-,-,1,-,1
"Voelker, Ross",-,1,-,-,1
"Slattery, Michael",1,-,-,-,1
TEAM,29,7,4,4,44
