Statistic,High,Opponent
AT BATS,41,Monmouth College (4/2/2015); Anderson University (3/15/2015)
RUNS SCORED,15,Monmouth College (4/2/2015)
HITS,18,Monmouth College (4/2/2015); Anderson University (3/15/2015)
RBIS,15,Monmouth College (4/2/2015)
DOUBLES,4,Monmouth College (4/2/2015); Knox College (4/26/2015); Franklin & Marshall (3/16/2015); WashU (4/11/2015); Knox College (4/27/2015)
TRIPLES,1,Simpson College (3/26/2015); Knox College (4/26/2015); Illinois College (5/2/2015); Anderson University (3/15/2015); WashU (4/11/2015)
HOME RUNS,4,Monmouth College (4/2/2015)
WALKS,8,Knox College (4/26/2015); Knox College (4/27/2015)
STRIKEOUTS,13,Cornell College (4/17/2015)
SAC HITS,4,Knox College (4/27/2015)
SAC FLIES,2,Monmouth College (4/2/2015); Knox College (4/26/2015)
STOLEN BASES,5,Monmouth College (4/2/2015); Knox College (4/27/2015)
HIT BY PITCH,5,Simpson College (3/26/2015)
CAUGHT STEALING,2,Monmouth College (4/4/2015); Illinois College (5/3/2015)
HIT INTO DP,3,Monmouth College (4/2/2015)
